Pattern,Train_count
110011001111100100100101001100010110110100000111,1
111001001111101100100111101100010110110100000111,1
111001101111001000110111100100010110110100000111,1
010011010110110100100101001100010110110100000111,1
011011010110100100100101001100010110110100000111,1
011011110110100100100101001100010110110100000111,1
011011110110110100100101001100010110110100000111,1
110001101110101000111111001100010110110100000111,1
110001111111001000111111101100010110110100000111,1
110001111111011000111111001100010110110100000111,1
110001101110101100100111001100010010110100000111,1
110001111110101000110111001100010110110100000111,1
110001111110101100110111001100010110110100000111,1
111001101110111100000101001100010110110100000111,1
111001111110101100110111001100010110110100000111,1
111011111110100100100111001100010110110100000111,1
111011111110100100110111001100010110110100000111,1
110001111110010100110111001100010110110100000111,1
110011111111001000111111101100010110110100000111,1
111001111110100100100101001100010010010100000111,1
110011111111000000110111101100010110110100000111,1
011011111111010100110101001100010110110100000111,1
111001101111001000101111100100010110110100000111,1
110001011110100100100101001100010010110100000111,1
011011010111100100100101100100000100110100000101,1
111011010111100100100101100100010000110100000101,1
101011001111000100100101100100010110110100000111,1
001011011111000100100101100100010110110100000111,1
101011010111100100100101100100010110110100000111,1
110001101111101000111111101100010110110100000111,1
111011000111100100100101100100010010110100000111,1
101011000111100100100101100100010000110100000101,1
110001111111011100100111001100010110110100000111,1
111011000110100100100101100100010010010100000111,1
110011011111100100100101001100010010110100000111,1
110001111111111100101111001100010110110100000111,1
111011000111100100100101100100010000110100000101,1
110001111111111100100111001100010110110100000111,1
111011000111100100100101100100010000110101000101,1
011011000111100100100101000100010000110101000101,1
110001111011111100100111001100010110110100000111,1
011011000111100100100101100100010000110101000101,1
101011011111000100100101100100010110110100000111,1
111001011111000100100101100100010110110100000111,1
111011001111000000100101100100010100110101000111,1
110011011110110100100101001100010010110100000111,1
110001011111110100100101001100010110110100000111,1
111011101111101000100111000100010110110100000111,1
111011001111101000100111000100010110110100000111,1
110011011111100100100101001100010110110100000111,1
110011111111110100100101001100010110110100000111,1
110011011111110100100101001100010110110100000111,1
111011101111101000100111100100010110110100000111,1
111001101111001000101111101100010110110100000111,1
110001111111011100100101001100010110110100000111,1
111011001111001000100111100100010110110100000111,1
111011011111001000100101000100010110110101000111,1
110001111110111100100101001100010010110100000111,1
011011011111001000100101000100010100110101000111,1
011011011111000000100101100100010100110101000111,1
001011011111000000100101000100010100110101000101,1
110001101111001000111111100100010110110100000111,1
111001001100011100000101000100000001011100000011,1
111011101110111100000101001100010100110101000111,1
111001111010010100100101000100000011010100100011,1
111011101011100100100101001100000110010100100111,1
111001101010100100100101001100010010010100100111,1
111001101010110100100101001100010010010100100111,1
111001101010110100100101001100000010010100100111,1
111001001011110100100101001100000010010100100111,1
111001111010010100100101001100000010010100100111,1
111001001010110100000101000100000000010100100111,1
111001001010110100100101000100000000010100100111,1
111001011010010100100101100100000000010100100111,1
111001011010010100100101000100000001010100100111,1
111001011010010100100101000100000001010100100011,1
111001111010010100100101000100000010010100100111,1
111001111010010100100101000100000001010100100011,1
111011101011110100100101001100000010010100100111,1
111001111010010000100101000100000001010100100111,1
011001111010010001100101000100000001010100100011,1
111001011010110000100101100100000001010100100111,1
111001011010110100100101000100000001010100100111,1
011001011010110101100101000100000001010100100011,1
011001011010010101100101000100000001010100100111,1
011001011010010001100101000100000001010100100111,1
011001011110010000100101100100000001010100100111,1
011001011110010001100101100100000001010100100111,1
011001011010010001100101100100000001010100100111,1
011001111010010001100101100100000001010100100111,1
011000111010010001100101000100000001010100100111,1
111011101011100000100101001100000110110100100111,1
111011101011010000100101001100000110010100100111,1
101011101111010000100101100100000000010100100111,1
101001101011010000100101101100000110010100100111,1
111011101011000000100101100100000100110100100111,1
111011101011100000100101100100000100010100100111,1
111011101011100000100101000100000010010100100111,1
111011101011100000100101100100000010010100100111,1
111011101011100000100101001100000010010100100111,1
111011101110100100100101001100000010010100100111,1
111011101010100000100101001100000010010100100111,1
111011101010100100100101001100000010010100100111,1
111001101010100000100101101100000010010100100111,1
111001101011100100100101100100000010010100100111,1
111001100011100100100101101100000010010100100111,1
111001101011100100100101101100000110010100100111,1
111001100010100100100101101100000110010100100111,1
111001101010110000100101001100000110010100100111,1
111001100011010000100101101100000110010100100111,1
111001100010010100100101101100000010010100100111,1
111001100010110000100101100100000010010100100111,1
111011101011010000100101100100000000010100100111,1
111011101011000000100101001100000110110100100111,1
111011101011010000100101001100000010010100100111,1
111011101011010000100101001100000110110100100111,1
111011111011010000100101101100000110010100100111,1
111001101010110000100111001100000110010100100111,1
111001101011011000100111001100000110010100100111,1
111001111011011000100111001100000110010100100111,1
111001101011011000100111001100000110110100100111,1
011000111010010001100111100100000011010100000111,1
011000111011010001100101100100000011010100100111,1
011000111010010001100101100100000001010100100111,1
001000100010100000100111100100000010110000001101,1
011000100010100000111111100100000110010000101101,1
011000100010100000111111100100000010010000101101,1
011000100010100000101111100100000010010000001101,1
011000100010100000111111100100010110110000001101,1
011000100011000000111111100100000110110000001101,1
011000100010100000111111100100000010010000001101,1
001000100010100000111111100100000010110000001101,1
001010100011100000111111100100000010110000001101,1
011010100011100000111111100100000010110000001101,1
001010100011100000111111100100000010110000000101,1
001000100011100000111111100100000010110000101101,1
001000100011100000101111100100000010010000001101,1
001000100011100000100111100100000010110000001101,1
011000111011010001100101100100000001010100100011,1
001000100011100000110111100100000110110000001101,1
001000100011100000111111100100000010110000100101,1
001000100011100000111111100100000110110000100101,1
001000100011100000111111100100000010110000001101,1
011010100011100000110111100100000010110000000101,1
011010100010100000100101100100000010010000001101,1
001000100010100000110111100100000010110000001101,1
001000100010100000110111100100000010010000001101,1
001000100010100000111111100100000110110000001101,1
001010100011100000111111100100000110110000100101,1
001010100011100000111111100100000110110000000101,1
001000100011100000111111100100010110110000000101,1
011000100010000000111111100100000110110000101101,1
011000100010000000111111100100000110110000001101,1
011000100010000000111111100100000110010000101101,1
001000100011000000111111100100000110110000101101,1
011000101010010001100101100100000010010000100111,1
011000101011010001100101100100000010010000100111,1
011000101010010000100101100100000010010000100111,1
011000111011010000100101100100000010010100100111,1
011000101011010001100101100100000010010100100111,1
011000111011011000101111100100000110110100000101,1
111000101011011000101111000100000110110100000101,1
111000101011011000101111100100000110110100000101,1
111000101010100000111111100100010010010100000101,1
111000101011100000111111100100000110110100000101,1
111000101010000000110111100100000010010100100101,1
111000101010100000100111100100000010010100100101,1
111000101011100000101111100100000010010100100101,1
111000101011000000101111100100000010010000100101,1
011000101011000000111111100100000010010000100101,1
011000101011000000100111100100000010010000100101,1
001000100011000000110111100100000110010000100101,1
001000100011000000111111100100000110010000100101,1
001000100011100000100101100100000010010000100101,1
011000100011100000100111100100000010010000100101,1
011000100010100000100101100100000010010000100101,1
011000100010100000100101100100000010010000000101,1
011000100011100000100111100100000010010000000101,1
011000100011100000100111100100000010010000001101,1
