Date,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,gold_daily,gold_vs_ma5,gold_vs_ma20,copper_daily,copper_vs_ma5,copper_vs_ma20,gold_ma_deviation5,gold_ma_deviation20,copper_ma_deviation5,copper_ma_deviation20,Actual
2016-12-08,1431.1737540414078,101.06999969482422,3.0753,2.4,51.6,2.6235,734.0152379172447,-0.004425490359042494,-0.0021325182733727965,-0.019389187957102982,-0.006814310051107442,-0.010634687181808045,0.01303214596003488,-0.0021325182733727965,-0.019389187957102982,-0.010634687181808045,0.01303214596003488,3.52
2016-12-09,1436.9380682832782,101.56999969482422,3.0853,2.47,52.19,2.645,727.4895274744382,-0.008890429116053644,-0.008347861088337294,-0.02558324818254276,0.008195159138555397,-0.004254037571057578,0.0187280342785614,-0.008347861088337294,-0.02558324818254276,-0.004254037571057578,0.0187280342785614,3.52
2016-12-12,1396.9344823731467,100.95999908447266,3.1458,2.49,53.99,2.616,730.0621419637106,0.0035362907534950416,-0.003050408492995982,-0.019760647036676793,-0.01096408317580333,-0.009316064530788482,0.005767012687427853,-0.003050408492995982,-0.019760647036676793,-0.009316064530788482,0.005767012687427853,3.41
2016-12-13,1396.6459400093206,101.02999877929688,3.1863,2.48,53.28,2.595,725.795310667691,-0.005844476861302184,-0.007022228621531346,-0.02271905410591113,-0.008027522935779796,-0.011127200670680515,-0.003982152281341356,-0.007022228621531346,-0.02271905410591113,-0.011127200670680515,-0.003982152281341356,3.44
2016-12-14,1386.173848407464,102.0,3.2186,2.54,53.15,2.6015,728.6817370949915,0.003976915233366851,-0.000722775061287928,-0.01625175141585522,0.0025048169556840527,-0.005618836480391409,-0.003991309091953332,-0.000722775061287928,-0.01625175141585522,-0.005618836480391409,-0.003991309091953332,3.55
2016-12-15,1375.255695717378,103.12999725341797,3.3315,2.6,51.72,2.597,707.6614691484644,-0.028846980617804108,-0.02248337189571825,-0.041027125693529176,-0.0017297712857967662,-0.0053238346930177816,-0.007680256772763627,-0.02248337189571825,-0.041027125693529176,-0.0053238346930177816,-0.007680256772763627,3.48
2016-12-16,1379.2172553414816,102.94999694824219,3.2803,2.6,54.15,2.561,712.3674992857466,0.0066501149807476345,-0.01185458558610697,-0.03163619063284784,-0.01386214863303814,-0.012759723989052119,-0.023134285659794362,-0.01185458558610697,-0.03163619063284784,-0.012759723989052119,-0.023134285659794362,3.46
2016-12-19,1373.131733562522,103.13999938964844,3.3316,2.54,53.53,2.4965,715.6303162093785,0.004580243942773121,-0.003338244080370756,-0.024325564358177676,-0.025185474424053056,-0.028674811298731617,-0.04731921389047877,-0.003338244080370756,-0.024325564358177676,-0.028674811298731617,-0.04731921389047877,3.46
2016-12-20,1365.6372539768033,103.29000091552734,3.3739,2.57,54.56,2.4995,709.9830800446398,-0.007891275756247373,-0.006828899916446973,-0.028722019259825426,0.0012016823552973843,-0.02022656893104935,-0.045290910306236554,-0.006828899916446973,-0.028722019259825426,-0.02022656893104935,-0.045290910306236554,3.39
2016-12-21,1377.914277874644,103.0199966430664,3.2815,2.55,53.01,2.494,709.732076451543,-0.00035353461251641516,-0.0018884252539951296,-0.026642366124472683,-0.0022004400880174524,-0.014073371283997327,-0.04528576350342617,-0.0018884252539951296,-0.026642366124472683,-0.014073371283997327,-0.04528576350342617,3.42
