Model,Seed,Budget,Initial_MSE,Final_MSE,Previous20_mean,Last20_mean,Decrease_percent,Status
DirectReturns,100,100,0.4754174443468115,0.014792611775186522,0.020193148095846134,0.01612603819169093,20.141039350827306,decreasing
DirectReturns,100,200,0.4754174443468115,0.009748410769895716,0.010588581640575866,0.01000637311450941,5.4984562222707005,decreasing
DirectReturns,123,100,0.5103468797101515,0.01736831199789873,0.022049615445770585,0.018449008719351113,16.329566995283436,decreasing
DirectReturns,123,200,0.5103468797101515,0.012716911948117315,0.013684312122771842,0.013011534021651616,4.9164188530943145,decreasing
DirectReturns,999,100,0.48855454157788547,0.018525691656307765,0.024403862868410633,0.0200725573764903,17.748442184236968,decreasing
DirectReturns,999,200,0.48855454157788547,0.010715478980014464,0.012139163078915754,0.011138960256362488,8.2394710084297,decreasing
DirectReturns,2024,100,0.49367243760521845,0.016055780145530673,0.0204948807826235,0.017032622523657125,16.89328323344938,decreasing
DirectReturns,2024,200,0.49367243760521845,0.012110305782339556,0.01288007718720668,0.012320007307028192,4.348342576198104,decreasing
DirectReturns,2025,100,0.5272542166102028,0.017588481990917372,0.02052143974423929,0.01834427178071542,10.6092359535107,decreasing
DirectReturns,2025,200,0.5272542166102028,0.01276350355734726,0.013895658771146551,0.013108427253713223,5.665305477045566,decreasing
Stacking,0,100,0.47429888172107443,0.020516095779452747,0.021928064294697742,0.020909774485894875,4.643774275365892,decreasing
Stacking,0,200,0.4739617827794493,0.013407405868902383,0.013932725795470113,0.013565932462681262,2.6326028242664825,decreasing
Stacking,1,100,0.5019986778929525,0.01834133177229053,0.019767678002157382,0.018684985198518658,5.47708640094483,decreasing
Stacking,1,200,0.5015774690412552,0.013274192886559467,0.013509350916256524,0.01334119564202281,1.2447324469998284,decreasing
Stacking,7,100,0.5384402304656107,0.017538581609427728,0.018885164519483102,0.017831660488214482,5.578474204880556,decreasing
Stacking,7,200,0.5384745773402916,0.01321868049690821,0.013485780406649894,0.013301398436691151,1.3672324804267397,decreasing
Stacking,21,100,0.4700431675476502,0.016957117638313195,0.017803250987958503,0.017167486388860752,3.5710590134788305,decreasing
