Model,Seed,Budget,Initial_MSE,Final_MSE,Previous20_mean,Last20_mean,Decrease_percent,Status
DirectReturns,100,100,0.4744248025551689,0.015852453605371047,0.02124710354654104,0.017227399622155602,18.918832468531146,decreasing
DirectReturns,100,200,0.4744248025551689,0.009232292584403409,0.010233772617419685,0.009531154383782535,6.865681502842556,decreasing
DirectReturns,123,100,0.510543115689017,0.01728745720247936,0.021506595839510555,0.018298476466833948,14.916909196679345,decreasing
DirectReturns,123,200,0.510543115689017,0.012448605159004816,0.013456324110452497,0.012744012478531994,5.293508287060345,decreasing
DirectReturns,999,100,0.488592692608967,0.016899647065112877,0.02367448856762546,0.01850765730959037,21.824468322837017,decreasing
DirectReturns,999,200,0.488592692608967,0.010824169475366742,0.01185992501878981,0.011213734661644681,5.448519751358989,decreasing
DirectReturns,2024,100,0.49385960935714074,0.015756742538599045,0.0197418246903522,0.016652037800538696,15.650969139258335,decreasing
DirectReturns,2024,200,0.49385960935714074,0.011361544450781512,0.01254035439420884,0.011668489442490404,6.952474581747577,decreasing
DirectReturns,2025,100,0.528063065122899,0.01599653152683002,0.019403792960507517,0.016941871830109343,12.687834463132617,decreasing
DirectReturns,2025,200,0.528063065122899,0.0099076649566466,0.011176211142910454,0.010272863829154466,8.082768857932862,decreasing
Stacking,0,100,0.47429888172107443,0.020516095779452747,0.021928064294697742,0.020909774485894875,4.643774275365892,decreasing
Stacking,0,200,0.4739617827794493,0.013407405868902383,0.013932725795470113,0.013565932462681262,2.6326028242664825,decreasing
Stacking,1,100,0.5019986778929525,0.01834133177229053,0.019767678002157382,0.018684985198518658,5.47708640094483,decreasing
Stacking,1,200,0.5015774690412552,0.013274192886559467,0.013509350916256524,0.01334119564202281,1.2447324469998284,decreasing
Stacking,7,100,0.5384402304656107,0.017538581609427728,0.018885164519483102,0.017831660488214482,5.578474204880556,decreasing
Stacking,7,200,0.5384745773402916,0.01321868049690821,0.013485780406649894,0.013301398436691151,1.3672324804267397,decreasing
Stacking,21,100,0.4700431675476502,0.016957117638313195,0.017803250987958503,0.017167486388860752,3.5710590134788305,decreasing
