Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
2024,200,DirectReturns,Train,2034,2.2242760121631595,0.011361544450781512,0.021462123959937494
2024,200,DirectReturns,Test,271,17.69620725945807,2.875757456736472,5.43234797721073
2025,200,Base,Train,2034,2.2571438403557833,0.013796505093660618,0.026061800296322
2025,200,Base,Test,271,14.432888924093398,1.4144578498302913,2.671931605836935
2025,200,Stacking,Train,2034,2.1590066662409733,0.011779688769242333,0.022252004705009296
2025,200,Stacking,Test,271,14.317191725586023,1.3586387441759409,2.566488497281028
2025,200,DirectReturns,Train,2034,2.1429518450581932,0.0099076649566466,0.018715724290323178
2025,200,DirectReturns,Test,271,14.973775456237707,1.9679923723449981,3.717566430378617
0,200,Base,Train,2034,2.637833143616342,0.016759033710240817,0.0316580602660247
0,200,Base,Test,271,12.719200648874793,1.1048072671066,2.0869971174430084
0,200,Stacking,Train,2034,2.3779963331166325,0.013407405868902383,0.025326786158882054
0,200,Stacking,Test,271,12.878231988712537,1.1172390224071655,2.1104808853810892
0,200,DirectReturns,Train,2034,2.1805156902560485,0.010635261974327294,0.020090165718950406
0,200,DirectReturns,Test,271,19.203688870789502,3.478475816953719,6.570891791913935
1,200,Base,Train,2034,2.582499877360237,0.01630994766168408,0.030809730139380674
1,200,Base,Test,271,17.948880015539803,2.528241415232614,4.7758850822995065
1,200,Stacking,Train,2034,2.3716124035570827,0.013274192886559467,0.025075144883129268
1,200,Stacking,Test,271,17.76907000970323,2.5087711163242665,4.739105402343297
1,200,DirectReturns,Train,2034,2.286239529228091,0.012008859782788687,0.022684912107877226
1,200,DirectReturns,Test,271,22.20198328365966,3.4694089958922953,6.55376443406344
21,200,Base,Train,2034,2.442666229081699,0.014839711500810551,0.028032432486606026
21,200,Base,Test,271,11.39025974066946,1.034887599198844,1.9549178401603584
21,200,Stacking,Train,2034,2.3020779299272887,0.012421058167542237,0.023463560897044107
21,200,Stacking,Test,271,11.473741805141461,1.0499866207475135,1.983440113127307
21,200,DirectReturns,Train,2034,1.9976267216070411,0.010084106399412476,0.01904902476128608
21,200,DirectReturns,Test,271,10.987054505336467,1.1938507214441572,2.255201507532089
100,200,Base,Train,2034,2.492564826438739,0.01530983127306616,0.028920495625546033
100,200,Base,Test,271,15.616079188350925,0.9588081963354188,1.8112027332815097
100,200,Stacking,Train,2034,2.391029251002647,0.01320237766635307,0.024939484879777003
100,200,Stacking,Test,271,15.710239699831972,0.9828795458232431,1.856673865206283
100,200,DirectReturns,Train,2034,2.0528190043756376,0.009232292577006791,0.017439935968256586
100,200,DirectReturns,Test,271,19.711378599808658,3.1406667416316085,5.932765498366204
999,200,Base,Train,2034,2.5029995885662153,0.015605343421765316,0.02947872240488258
999,200,Base,Test,271,9.21203558687894,0.5101242617491913,0.9636322058203675
999,200,Stacking,Train,2034,2.3118976344944073,0.013337427468355981,0.02519459593478433
999,200,Stacking,Test,271,9.200389789848387,0.5086570218435975,0.9608605681377235
999,200,DirectReturns,Train,2034,2.110688836123658,0.010824169475366742,0.020447014756670077
999,200,DirectReturns,Test,271,18.833632737999586,3.307867354047412,6.248609905382418
