Epoch,Date,Period,Prediction_change,Actual_change,Gate_flips,Residual,Refinement,Steps
200,2020-08-11,08-03 to 09-01,-0.2801987826361074,-0.2999999999999998,0,-9.71445146547012e-15,1.2045919817182948e-14,2048
200,2020-08-12,08-03 to 09-01,0.01932012217680512,-0.33000000000000007,0,-7.91033905045424e-16,6.140921104957897e-16,2048
200,2020-08-13,08-03 to 09-01,0.0714588545042929,0.019999999999999574,0,3.497202527569243e-15,4.704570066849101e-15,2048
200,2020-08-14,08-03 to 09-01,-0.05286581324022421,0.0600000000000005,0,-2.2412627309620348e-15,3.982925100842749e-15,2048
200,2020-08-17,08-03 to 09-01,0.21631528110795806,0.33000000000000007,0,2.581268532253489e-15,5.245803791353865e-15,2048
200,2020-08-18,08-03 to 09-01,0.08723492359084517,0.25,1,7.921557641732413e-06,1.277208748878822e-05,16384
200,2020-08-19,08-03 to 09-01,-0.24540322506487744,0.13999999999999968,0,-9.020562075079397e-15,1.797173521111972e-15,2048
200,2020-08-20,08-03 to 09-01,-0.34895910857644274,-0.17999999999999972,0,-5.551115123125783e-17,1.304512053934559e-15,2048
200,2020-08-21,08-03 to 09-01,-0.03567512503145842,-0.1200000000000001,2,5.573274971998332e-06,3.127847446791898e-06,2048
200,2020-08-24,08-03 to 09-01,-0.0915577263046039,0.5,0,2.525757381022231e-15,1.3322676295501878e-15,2048
200,2020-08-25,08-03 to 09-01,-0.06780201676705833,-0.10000000000000053,0,3.1225022567582528e-15,9.575673587391975e-16,2048
200,2020-08-26,08-03 to 09-01,0.025834851128275993,-0.0699999999999994,0,-7.147060721024445e-16,6.522560269672795e-16,2048
200,2020-08-27,08-03 to 09-01,-0.03243915572213929,-0.04999999999999982,0,-7.008282842946301e-16,7.563394355258879e-16,2048
200,2020-08-28,08-03 to 09-01,0.28768590731539057,0.16999999999999993,1,-3.89102679543285e-06,1.0314579719117312e-05,8192
200,2020-08-31,08-03 to 09-01,0.10641619359591292,0.54,0,-1.3877787807814457e-15,7.771561172376096e-16,2048
200,2020-09-01,08-03 to 09-01,-0.13180862269684113,0.14999999999999947,0,-2.3592239273284576e-15,3.2751579226442118e-15,2048
300,2020-07-20,07-17 to 08-03,0.09520033634862379,0.2600000000000007,0,-6.2450045135165055e-15,3.622102617839573e-15,2048
300,2020-07-21,07-17 to 08-03,0.3292462160802163,0.0699999999999994,1,1.4320718166871416e-08,2.5673907444456745e-15,2048
300,2020-07-22,07-17 to 08-03,-0.001474985946396501,0.16999999999999993,0,-1.8596235662471372e-15,1.3357370765021415e-15,2048
300,2020-07-23,07-17 to 08-03,0.15544386123872478,-0.02999999999999936,1,7.450844736189843e-07,4.424925674220703e-06,2048
300,2020-07-24,07-17 to 08-03,-0.1166112742505021,-0.1900000000000004,2,-3.95945924464014e-07,4.9549532449288947e-08,2048
300,2020-07-27,07-17 to 08-03,0.20437307806127514,0.3899999999999997,1,1.954944500837108e-06,1.1553258350005535e-15,2048
300,2020-07-28,07-17 to 08-03,-0.11195734414434355,-0.2599999999999998,0,2.0816681711721685e-15,2.6575963651964685e-15,2048
300,2020-07-29,07-17 to 08-03,0.11254873211800476,-0.019999999999999574,1,-2.2201231222040985e-06,4.079052095512514e-06,2048
300,2020-07-30,07-17 to 08-03,-0.16666179280150129,-0.08999999999999986,0,2.4424906541753444e-15,1.3877787807814457e-15,2048
300,2020-07-31,07-17 to 08-03,-0.01537337937886818,0.1999999999999993,0,-2.491062911502695e-15,1.8596235662471372e-15,2048
300,2020-08-03,07-17 to 08-03,0.039964955253607215,-0.009999999999999787,2,7.2505209693790595e-06,1.7408213235578507e-05,4096
300,2020-08-04,08-03 to 09-01,0.06551053072029234,-0.04999999999999982,0,-3.677613769070831e-15,1.7694179454963432e-15,2048
300,2020-08-05,08-03 to 09-01,0.0646491209075375,0.25,0,-8.049116928532385e-16,1.942890293094024e-15,2048
300,2020-08-06,08-03 to 09-01,0.07520521984765693,0.5300000000000002,0,-4.6074255521944e-15,3.7192471324942744e-15,2048
300,2020-08-07,08-03 to 09-01,-0.26340737720725205,0.0699999999999994,1,3.826906976700517e-06,3.4139358007223564e-15,2048
300,2020-08-10,08-03 to 09-01,0.06571039252158961,-0.3099999999999996,0,-1.5404344466674047e-15,1.2490009027033011e-15,2048
300,2020-08-11,08-03 to 09-01,-0.2988762537384204,-0.2999999999999998,0,3.4416913763379853e-15,3.497202527569243e-15,2048
300,2020-08-12,08-03 to 09-01,0.039311025925215404,-0.33000000000000007,0,-1.3877787807814457e-16,9.194034422677078e-16,2048
300,2020-08-13,08-03 to 09-01,0.10105489104180254,0.019999999999999574,0,-4.107825191113079e-15,3.6914915568786455e-15,2048
300,2020-08-14,08-03 to 09-01,-0.12688163579158562,0.0600000000000005,0,6.716849298982197e-15,8.215650382226158e-15,2048
300,2020-08-17,08-03 to 09-01,0.22946603357286133,0.33000000000000007,0,-4.274358644806853e-15,2.0539125955565396e-15,2048
300,2020-08-18,08-03 to 09-01,-0.04333882948928025,0.25,0,2.42861286636753e-15,2.796374243274613e-15,2048
300,2020-08-19,08-03 to 09-01,-0.2686185912162671,0.13999999999999968,0,3.774758283725532e-15,2.3869795029440866e-15,2048
300,2020-08-20,08-03 to 09-01,-0.27856114927530484,-0.17999999999999972,1,8.918125325441117e-07,1.4710455076283324e-15,2048
300,2020-08-21,08-03 to 09-01,0.04452905878525826,-0.1200000000000001,0,8.743006318923108e-16,1.700029006457271e-15,2048
300,2020-08-24,08-03 to 09-01,-0.07454336318855592,0.5,1,-3.851021740108873e-07,4.773959005888173e-15,2048
300,2020-08-25,08-03 to 09-01,-0.019103172660890344,-0.10000000000000053,0,-2.400857290751901e-15,9.367506770274758e-16,2048
300,2020-08-26,08-03 to 09-01,0.03672304676990823,-0.0699999999999994,0,1.3183898417423734e-16,1.339206523454095e-15,2048
300,2020-08-27,08-03 to 09-01,-0.05667195667996072,-0.04999999999999982,0,-1.4710455076283324e-15,7.771561172376096e-16,2048
300,2020-08-28,08-03 to 09-01,0.08905135111592877,0.16999999999999993,1,1.6574366610289104e-06,5.32159737544162e-06,4096
300,2020-08-31,08-03 to 09-01,0.06839931964657797,0.54,0,1.0547118733938987e-15,8.465450562766819e-16,2048
300,2020-09-01,08-03 to 09-01,-0.12303394670673473,0.14999999999999947,1,5.58560801464103e-06,1.1086903071361176e-05,2048
400,2020-07-20,07-17 to 08-03,0.10586509124141052,0.2600000000000007,1,6.904723695577708e-09,1.7636741823923163e-08,2048
400,2020-07-21,07-17 to 08-03,0.3382429455841409,0.0699999999999994,2,-3.215908256359867e-08,2.2898349882893854e-15,2048
400,2020-07-22,07-17 to 08-03,-0.026405174613169713,0.16999999999999993,0,-1.2836953722228372e-15,2.123301534595612e-15,2048
400,2020-07-23,07-17 to 08-03,0.15746386516063993,-0.02999999999999936,0,-3.2751579226442118e-15,4.3021142204224816e-15,2048
400,2020-07-24,07-17 to 08-03,-0.08875988590898842,-0.1900000000000004,1,-2.192182826932232e-08,4.2876722686213675e-08,2048
400,2020-07-27,07-17 to 08-03,0.2119958507800277,0.3899999999999997,0,6.38378239159465e-15,2.7755575615628914e-15,2048
400,2020-07-28,07-17 to 08-03,-0.1304231255078072,-0.2599999999999998,2,3.38982851605385e-06,2.1226721606260046e-06,2048
400,2020-07-29,07-17 to 08-03,0.05886353500479391,-0.019999999999999574,0,-6.245004513516506e-16,2.2551405187698492e-15,2048
400,2020-07-30,07-17 to 08-03,-0.08043907592038568,-0.08999999999999986,1,-3.74036964012614e-06,1.1650661467996898e-05,8192
400,2020-07-31,07-17 to 08-03,-0.050219353127620714,0.1999999999999993,0,2.7547408798511697e-15,2.067790383364354e-15,2048
400,2020-08-03,07-17 to 08-03,0.04823754097945976,-0.009999999999999787,0,9.08995101411847e-16,1.1171619185290638e-15,2048
400,2020-08-04,08-03 to 09-01,0.0760533786488331,-0.04999999999999982,0,1.7763568394002505e-15,2.3522850334245504e-15,2048
