Year,Seed,Model,Split,N,MAPE,MPE
2022,123,C_returns,Test,274,21.203241975881284,-20.632290052718535
2022,123,D_both,Train,2577,3.8595172504755824,0.21575400541433862
2022,123,D_both,Test,274,40.76291836028133,-40.58779487073092
2022,123,T_time_only,Train,2577,12.232774878456075,3.1456292253790155
2022,123,T_time_only,Test,274,42.767926271594334,42.767926271594334
2023,42,A_base,Train,2851,4.005702181116088,0.3053742915518211
2023,42,A_base,Test,273,20.39080711050813,-20.39080711050813
2023,42,B_time,Train,2851,4.038530904025652,0.23926055237064003
2023,42,B_time,Test,273,11.444536051484794,-11.444536051484794
2023,42,C_returns,Train,2851,4.6707144386735475,0.4796996298609286
2023,42,C_returns,Test,273,13.03254300037008,-12.828877537895014
2023,42,D_both,Train,2851,5.125193898444162,0.3313255753754215
2023,42,D_both,Test,273,11.74943583477327,-11.708496552103687
2023,42,T_time_only,Train,2851,14.681640435145704,3.8517581916080563
2023,42,T_time_only,Test,273,5.176557763446428,2.364255426846293
2023,7,A_base,Train,2851,3.9542348890358703,0.2787703560318899
2023,7,A_base,Test,273,14.711287078305746,-14.711287078305746
2023,7,B_time,Train,2851,3.803653243061465,0.15507748007046393
2023,7,B_time,Test,273,11.15018804885649,-11.144768072473779
2023,7,C_returns,Train,2851,4.171122574403828,0.31239082561333675
2023,7,C_returns,Test,273,14.89449000972931,-14.89449000972931
2023,7,D_both,Train,2851,4.022102789982687,0.28906164505376775
2023,7,D_both,Test,273,13.660649359362528,-13.660649359362528
2023,7,T_time_only,Train,2851,14.520577030358067,3.672380853125611
2023,7,T_time_only,Test,273,4.356823686190003,-1.4647694716719961
2023,123,A_base,Train,2851,4.431063089115768,0.3178678162495573
2023,123,A_base,Test,273,12.364504699569663,-12.364504699569663
2023,123,B_time,Train,2851,3.908279896218854,0.24355693166211126
2023,123,B_time,Test,273,11.198336222756378,-11.195290421326405
2023,123,C_returns,Train,2851,4.060688711553435,0.3765471415778084
2023,123,C_returns,Test,273,11.004126188990705,-11.004126188990705
2023,123,D_both,Train,2851,3.7786900550327394,0.22098067587652198
2023,123,D_both,Test,273,17.580460123589145,-17.580460123589145
2023,123,T_time_only,Train,2851,12.74908201683646,3.10726265193672
2023,123,T_time_only,Test,273,8.039958381307516,-7.734224466454904
2024,42,A_base,Train,3124,4.399371545401335,0.3575018142425731
2024,42,A_base,Test,273,7.222862414832743,-3.985854710330015
2024,42,B_time,Train,3124,4.323305479302262,0.14078207110960753
2024,42,B_time,Test,273,9.901767334271492,-9.00437624465391
2024,42,C_returns,Train,3124,4.8959141268877255,0.39781601091871344
2024,42,C_returns,Test,273,9.682320652040598,-9.273511964709998
2024,42,D_both,Train,3124,4.542443018057814,0.2827169296005755
2024,42,D_both,Test,273,9.68451443523082,-9.20610642197089
2024,42,T_time_only,Train,3124,16.238754323685683,4.246012686063437
2024,42,T_time_only,Test,273,12.768699721590288,-9.986523185590107
2024,7,A_base,Train,3124,4.491473234673868,0.3410972002738585
2024,7,A_base,Test,273,6.99114515819686,-5.9804082273568895
2024,7,B_time,Train,3124,4.09759443150295,0.2665391982311051
2024,7,B_time,Test,273,12.042908273902357,-11.715830236637048
2024,7,C_returns,Train,3124,4.4888185057695935,0.25192276486492493
2024,7,C_returns,Test,273,9.441147991964808,-8.699218534047601
2024,7,D_both,Train,3124,4.850941724122471,0.42195093169487297
2024,7,D_both,Test,273,10.001911518776115,-9.183181960940939
2024,7,T_time_only,Train,3124,14.676486103471689,3.867100037130924
2024,7,T_time_only,Test,273,16.055626491706228,-14.87014863967936
2024,123,A_base,Train,3124,4.489261938209343,0.43372383324578023
2024,123,A_base,Test,273,7.83222425024556,-5.662799580118744
2024,123,B_time,Train,3124,4.098944903905232,0.3270757226518345
2024,123,B_time,Test,273,7.035259328902277,-5.6930200105462445
2024,123,C_returns,Train,3124,4.266747908667417,0.2676295944904157
2024,123,C_returns,Test,273,6.941139984134034,-0.6315915107220712
2024,123,D_both,Train,3124,4.082682605639436,0.21221030052038212
2024,123,D_both,Test,273,7.427464349549987,-4.57316130493549
2024,123,T_time_only,Train,3124,13.710239319806028,3.3855116668689464
2024,123,T_time_only,Test,273,18.91216327647778,-18.377398080113103
2025,42,A_base,Train,3397,4.4730298533287645,0.19077921575186102
2025,42,A_base,Test,268,18.730965227543336,3.430990046828355
2025,42,B_time,Train,3397,5.155965252857993,0.37189807756249854
2025,42,B_time,Test,268,17.306089886609165,5.680046954306025
2025,42,C_returns,Train,3397,5.091898560206867,0.1667642580081401
2025,42,C_returns,Test,268,16.80724172214502,4.7319097631103295
2025,42,D_both,Train,3397,5.307904575268411,0.5473769531542664
2025,42,D_both,Test,268,16.800590379209474,3.362072026669892
2025,42,T_time_only,Train,3397,16.40708253332663,4.269741193444166
2025,42,T_time_only,Test,268,14.944057694936856,-12.095858110134113
2025,7,A_base,Train,3397,5.378937578178624,0.37056922572567796
2025,7,A_base,Test,268,16.629368888946395,6.867354989011971
2025,7,B_time,Train,3397,5.000464660033681,0.42432291832241703
2025,7,B_time,Test,268,17.90609511258326,9.540592476496467
2025,7,C_returns,Train,3397,5.796150188286653,0.6268856178331101
2025,7,C_returns,Test,268,17.89089033179638,3.510671520200619
2025,7,D_both,Train,3397,4.897897646828217,0.34286379466869726
2025,7,D_both,Test,268,16.37128200178095,3.3734692598560945
2025,7,T_time_only,Train,3397,15.888954434471668,4.056471262207338
2025,7,T_time_only,Test,268,17.387384859655157,-16.44178598283341
2025,123,A_base,Train,3397,5.080962115810047,0.3666127777173622
2025,123,A_base,Test,268,15.850040572086245,5.857761025245449
2025,123,B_time,Train,3397,4.7967158664514695,0.6270592220353639
2025,123,B_time,Test,268,15.353949533042858,5.792379643597141
2025,123,C_returns,Train,3397,5.592164795966748,0.6806908265407614
2025,123,C_returns,Test,268,18.906064736137434,6.829178143836708
2025,123,D_both,Train,3397,4.489970544252825,0.4608066627966101
