日期,数值,曲线,面板,原始值
2016-12-05,5.3634451224812585,相对MA20偏离,中国10年期利率：相对变化（%）,3.0302
2016-12-06,7.657242784345097,相对MA20偏离,中国10年期利率：相对变化（%）,3.1151
2016-12-07,6.11874562879231,相对MA20偏离,中国10年期利率：相对变化（%）,3.0877
2016-12-08,5.181612969423344,相对MA20偏离,中国10年期利率：相对变化（%）,3.0753
2016-12-09,5.038104527434073,相对MA20偏离,中国10年期利率：相对变化（%）,3.0853
2016-12-12,6.575149404415059,相对MA20偏离,中国10年期利率：相对变化（%）,3.1458
2016-12-13,7.335954159129265,相对MA20偏离,中国10年期利率：相对变化（%）,3.1863
2016-12-14,7.782466010314115,相对MA20偏离,中国10年期利率：相对变化（%）,3.2186
2016-12-15,10.773067331670827,相对MA20偏离,中国10年期利率：相对变化（%）,3.3315
2016-12-16,8.367663139533743,相对MA20偏离,中国10年期利率：相对变化（%）,3.2803
2016-12-19,9.256608408062728,相对MA20偏离,中国10年期利率：相对变化（%）,3.3316
2016-12-20,9.735134985697247,相对MA20偏离,中国10年期利率：相对变化（%）,3.3739
2016-12-21,5.977738700202329,相对MA20偏离,中国10年期利率：相对变化（%）,3.2815
2016-12-22,2.4848760292088823,相对MA20偏离,中国10年期利率：相对变化（%）,3.1908
2016-12-23,1.529867083409231,相对MA20偏离,中国10年期利率：相对变化（%）,3.1769
2016-12-26,0.3442765025323924,相对MA20偏离,中国10年期利率：相对变化（%）,3.1551
2016-12-27,0.1556421465632729,相对MA20偏离,中国10年期利率：相对变化（%）,3.1628
2016-12-28,-1.3955515412965136,相对MA20偏离,中国10年期利率：相对变化（%）,3.1223
2016-12-29,-3.8581678435529954,相对MA20偏离,中国10年期利率：相对变化（%）,3.0471
2016-12-30,-5.014382680225083,相对MA20偏离,中国10年期利率：相对变化（%）,3.0115
2016-12-31,-4.986362395864408,相对MA20偏离,中国10年期利率：相对变化（%）,3.0115
2016-01-01,-1.3215859030836885,相邻记录变化,美国10年期利率：相对变化（%）,2.24
2016-01-04,0.0,相邻记录变化,美国10年期利率：相对变化（%）,2.24
2016-01-05,0.44642857142855874,相邻记录变化,美国10年期利率：相对变化（%）,2.25
2016-01-06,-3.111111111111109,相邻记录变化,美国10年期利率：相对变化（%）,2.18
2016-01-07,-0.9174311926605561,相邻记录变化,美国10年期利率：相对变化（%）,2.16
2016-01-08,-1.388888888888895,相邻记录变化,美国10年期利率：相对变化（%）,2.13
2016-01-11,1.8779342723004744,相邻记录变化,美国10年期利率：相对变化（%）,2.17
2016-01-12,-2.304147465437778,相邻记录变化,美国10年期利率：相对变化（%）,2.12
2016-01-13,-1.8867924528301883,相邻记录变化,美国10年期利率：相对变化（%）,2.08
2016-01-14,0.9615384615384581,相邻记录变化,美国10年期利率：相对变化（%）,2.1
2016-01-15,-3.3333333333333437,相邻记录变化,美国10年期利率：相对变化（%）,2.03
2016-01-18,1.4778325123152802,相邻记录变化,美国10年期利率：相对变化（%）,2.06
2016-01-19,0.0,相邻记录变化,美国10年期利率：相对变化（%）,2.06
2016-01-20,-2.4271844660194275,相邻记录变化,美国10年期利率：相对变化（%）,2.01
2016-01-21,0.4975124378109541,相邻记录变化,美国10年期利率：相对变化（%）,2.02
2016-01-22,2.4752475247524774,相邻记录变化,美国10年期利率：相对变化（%）,2.07
2016-01-25,-1.9323671497584516,相邻记录变化,美国10年期利率：相对变化（%）,2.03
2016-01-26,-0.9852216748768461,相邻记录变化,美国10年期利率：相对变化（%）,2.01
2016-01-27,0.4975124378109541,相邻记录变化,美国10年期利率：相对变化（%）,2.02
2016-01-28,-0.990099009900991,相邻记录变化,美国10年期利率：相对变化（%）,2.0
2016-01-29,-3.0000000000000027,相邻记录变化,美国10年期利率：相对变化（%）,1.94
2016-02-01,1.546391752577314,相邻记录变化,美国10年期利率：相对变化（%）,1.97
2016-02-02,-5.076142131979688,相邻记录变化,美国10年期利率：相对变化（%）,1.87
2016-02-03,0.53475935828875,相邻记录变化,美国10年期利率：相对变化（%）,1.88
2016-02-04,-0.5319148936170137,相邻记录变化,美国10年期利率：相对变化（%）,1.87
2016-02-05,-0.5347593582887722,相邻记录变化,美国10年期利率：相对变化（%）,1.86
2016-02-06,-5.913978494623661,相邻记录变化,美国10年期利率：相对变化（%）,1.75
2016-02-08,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.75
2016-02-09,-0.5714285714285672,相邻记录变化,美国10年期利率：相对变化（%）,1.74
2016-02-10,-1.7241379310344862,相邻记录变化,美国10年期利率：相对变化（%）,1.71
2016-02-11,-4.678362573099415,相邻记录变化,美国10年期利率：相对变化（%）,1.63
2016-02-12,6.748466257668717,相邻记录变化,美国10年期利率：相对变化（%）,1.74
2016-02-14,2.298850574712641,相邻记录变化,美国10年期利率：相对变化（%）,1.78
2016-02-15,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.78
2016-02-16,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.78
2016-02-17,1.6853932584269593,相邻记录变化,美国10年期利率：相对变化（%）,1.81
2016-02-18,-3.314917127071826,相邻记录变化,美国10年期利率：相对变化（%）,1.75
2016-02-19,0.5714285714285783,相邻记录变化,美国10年期利率：相对变化（%）,1.76
2016-02-22,0.5681818181818121,相邻记录变化,美国10年期利率：相对变化（%）,1.77
2016-02-23,-1.6949152542372947,相邻记录变化,美国10年期利率：相对变化（%）,1.74
2016-02-24,0.5747126436781658,相邻记录变化,美国10年期利率：相对变化（%）,1.75
2016-02-25,-2.285714285714291,相邻记录变化,美国10年期利率：相对变化（%）,1.71
2016-02-26,2.923976608187129,相邻记录变化,美国10年期利率：相对变化（%）,1.76
2016-02-29,-1.1363636363636354,相邻记录变化,美国10年期利率：相对变化（%）,1.74
2016-03-01,5.1724137931034475,相邻记录变化,美国10年期利率：相对变化（%）,1.83
2016-03-02,0.5464480874316946,相邻记录变化,美国10年期利率：相对变化（%）,1.84
2016-03-03,-0.5434782608695676,相邻记录变化,美国10年期利率：相对变化（%）,1.83
2016-03-04,2.7322404371584508,相邻记录变化,美国10年期利率：相对变化（%）,1.88
2016-03-07,1.5957446808510634,相邻记录变化,美国10年期利率：相对变化（%）,1.91
2016-03-08,-4.188481675392664,相邻记录变化,美国10年期利率：相对变化（%）,1.83
2016-03-09,3.82513661202184,相邻记录变化,美国10年期利率：相对变化（%）,1.9
2016-03-10,1.5789473684210575,相邻记录变化,美国10年期利率：相对变化（%）,1.93
2016-03-11,2.590673575129543,相邻记录变化,美国10年期利率：相对变化（%）,1.98
2016-03-14,-0.5050505050505083,相邻记录变化,美国10年期利率：相对变化（%）,1.97
2016-03-15,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.97
2016-03-16,-1.5228426395939132,相邻记录变化,美国10年期利率：相对变化（%）,1.94
2016-03-17,-1.5463917525773252,相邻记录变化,美国10年期利率：相对变化（%）,1.91
2016-03-18,-1.5706806282722474,相邻记录变化,美国10年期利率：相对变化（%）,1.88
2016-03-21,2.127659574468077,相邻记录变化,美国10年期利率：相对变化（%）,1.92
2016-03-22,1.041666666666674,相邻记录变化,美国10年期利率：相对变化（%）,1.94
2016-03-23,-3.0927835051546393,相邻记录变化,美国10年期利率：相对变化（%）,1.88
2016-03-24,1.5957446808510634,相邻记录变化,美国10年期利率：相对变化（%）,1.91
2016-03-25,-1.0471204188481686,相邻记录变化,美国10年期利率：相对变化（%）,1.89
2016-03-28,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.89
2016-03-29,-4.232804232804222,相邻记录变化,美国10年期利率：相对变化（%）,1.81
2016-03-30,1.104972375690605,相邻记录变化,美国10年期利率：相对变化（%）,1.83
2016-03-31,-2.732240437158473,相邻记录变化,美国10年期利率：相对变化（%）,1.78
2016-04-01,0.561797752808979,相邻记录变化,美国10年期利率：相对变化（%）,1.79
2016-04-04,-0.5586592178770999,相邻记录变化,美国10年期利率：相对变化（%）,1.78
2016-04-05,-2.8089887640449507,相邻记录变化,美国10年期利率：相对变化（%）,1.73
2016-04-06,1.7341040462427681,相邻记录变化,美国10年期利率：相对变化（%）,1.76
2016-04-07,-3.409090909090917,相邻记录变化,美国10年期利率：相对变化（%）,1.7
2016-04-08,1.17647058823529,相邻记录变化,美国10年期利率：相对变化（%）,1.72
2016-04-11,0.5813953488372103,相邻记录变化,美国10年期利率：相对变化（%）,1.73
2016-04-12,3.4682080924855585,相邻记录变化,美国10年期利率：相对变化（%）,1.79
2016-04-13,-1.1173184357541888,相邻记录变化,美国10年期利率：相对变化（%）,1.77
2016-04-14,1.6949152542372836,相邻记录变化,美国10年期利率：相对变化（%）,1.8
2016-04-15,-2.2222222222222254,相邻记录变化,美国10年期利率：相对变化（%）,1.76
2016-04-18,1.1363636363636465,相邻记录变化,美国10年期利率：相对变化（%）,1.78
2016-04-19,0.561797752808979,相邻记录变化,美国10年期利率：相对变化（%）,1.79
2016-04-20,3.3519553072625774,相邻记录变化,美国10年期利率：相对变化（%）,1.85
2016-04-21,1.621621621621605,相邻记录变化,美国10年期利率：相对变化（%）,1.88
2016-04-22,0.5319148936170137,相邻记录变化,美国10年期利率：相对变化（%）,1.89
2016-04-25,1.0582010582010692,相邻记录变化,美国10年期利率：相对变化（%）,1.91
2016-04-26,1.5706806282722585,相邻记录变化,美国10年期利率：相对变化（%）,1.94
2016-04-27,-3.6082474226803996,相邻记录变化,美国10年期利率：相对变化（%）,1.87
2016-04-28,-1.6042780748663166,相邻记录变化,美国10年期利率：相对变化（%）,1.84
2016-04-29,-0.5434782608695676,相邻记录变化,美国10年期利率：相对变化（%）,1.83
2016-05-02,2.7322404371584508,相邻记录变化,美国10年期利率：相对变化（%）,1.88
2016-05-03,-3.7234042553191404,相邻记录变化,美国10年期利率：相对变化（%）,1.81
2016-05-04,-1.104972375690605,相邻记录变化,美国10年期利率：相对变化（%）,1.79
2016-05-05,-1.6759776536312887,相邻记录变化,美国10年期利率：相对变化（%）,1.76
2016-05-06,1.7045454545454586,相邻记录变化,美国10年期利率：相对变化（%）,1.79
2016-05-09,-1.1173184357541888,相邻记录变化,美国10年期利率：相对变化（%）,1.77
2016-05-10,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.77
2016-05-11,-2.259887005649719,相邻记录变化,美国10年期利率：相对变化（%）,1.73
2016-05-12,1.1560693641618602,相邻记录变化,美国10年期利率：相对变化（%）,1.75
2016-05-13,-2.285714285714291,相邻记录变化,美国10年期利率：相对变化（%）,1.71
2016-05-16,2.3391812865497075,相邻记录变化,美国10年期利率：相对变化（%）,1.75
2016-05-17,0.5714285714285783,相邻记录变化,美国10年期利率：相对变化（%）,1.76
2016-05-18,6.25,相邻记录变化,美国10年期利率：相对变化（%）,1.87
2016-05-19,-1.0695187165775444,相邻记录变化,美国10年期利率：相对变化（%）,1.85
2016-05-20,0.0,相邻记录变化,美国10年期利率：相对变化（%）,1.85
