Month,Seed,Epochs,Model,APE
2020-03,123,400,Stacking,11.070200884567932
2020-03,123,800,Base,15.633531876612114
2020-03,123,800,Stacking,18.02805470122326
2020-04,7,100,Base,3.5699130572434274
2020-04,7,100,Stacking,4.174050935941717
2020-04,7,200,Base,6.1264754195585045
2020-04,7,200,Stacking,7.113384185319375
2020-04,7,400,Base,5.988793868030006
2020-04,7,400,Stacking,7.036382313113929
2020-04,7,800,Base,4.186452383750292
2020-04,7,800,Stacking,3.716803722061268
2020-04,42,100,Base,10.329720501368348
2020-04,42,100,Stacking,12.12883462269539
2020-04,42,200,Base,8.285535702156563
2020-04,42,200,Stacking,9.62493034283799
2020-04,42,400,Base,9.486737064299977
2020-04,42,400,Stacking,10.244021361647219
2020-04,42,800,Base,24.27713591017387
2020-04,42,800,Stacking,25.458470028101917
2020-04,123,100,Base,5.994890669468506
2020-04,123,100,Stacking,5.038133121741531
2020-04,123,200,Base,9.406339090279028
2020-04,123,200,Stacking,8.942756099328268
2020-04,123,400,Base,4.095718859907099
2020-04,123,400,Stacking,3.815707092096851
2020-04,123,800,Base,11.912390842318423
2020-04,123,800,Stacking,11.666394308758472
2020-05,7,100,Base,7.320120212928121
2020-05,7,100,Stacking,7.470533574817286
2020-05,7,200,Base,7.055101482363922
2020-05,7,200,Stacking,6.777264537256811
2020-05,7,400,Base,3.6134059480654455
2020-05,7,400,Stacking,3.988882830580026
2020-05,7,800,Base,3.8211188498299373
2020-05,7,800,Stacking,3.475832609637472
2020-05,42,100,Base,13.41097043211556
2020-05,42,100,Stacking,13.97966783310283
2020-05,42,200,Base,9.014415467376944
2020-05,42,200,Stacking,9.13323504341301
2020-05,42,400,Base,10.842798229709022
2020-05,42,400,Stacking,10.665663382827159
2020-05,42,800,Base,22.434467985255136
2020-05,42,800,Stacking,22.011167043489408
2020-05,123,100,Base,2.9400895265187232
2020-05,123,100,Stacking,3.089351347511402
2020-05,123,200,Base,8.51797849570878
2020-05,123,200,Stacking,8.890814305069176
2020-05,123,400,Base,1.9172001872151392
2020-05,123,400,Stacking,2.2477978988786855
2020-05,123,800,Base,9.742080735283594
2020-05,123,800,Stacking,9.499870972808514
2020-06,7,100,Base,13.40684119805151
2020-06,7,100,Stacking,13.348936653344076
2020-06,7,200,Base,11.359230384477053
2020-06,7,200,Stacking,10.728857845152387
2020-06,7,400,Base,4.2944281094325
2020-06,7,400,Stacking,4.4204060215700745
2020-06,7,800,Base,10.812763298717535
2020-06,7,800,Stacking,10.570295678602957
2020-06,42,100,Base,17.465345196873518
2020-06,42,100,Stacking,17.304920832660923
2020-06,42,200,Base,15.63067553558582
2020-06,42,200,Stacking,14.587372633202177
2020-06,42,400,Base,21.563214371841863
2020-06,42,400,Stacking,20.633209122593875
2020-06,42,800,Base,26.992180419604775
2020-06,42,800,Stacking,25.832740549294382
2020-06,123,100,Base,2.832334922452329
2020-06,123,100,Stacking,3.1546797535104987
2020-06,123,200,Base,7.153563049989879
2020-06,123,200,Stacking,6.7252027982038705
2020-06,123,400,Base,9.03785952328681
2020-06,123,400,Stacking,8.924973037318795
2020-06,123,800,Base,10.136472013501127
2020-06,123,800,Stacking,10.469479097738082
2020-07,7,100,Base,4.614467906071721
2020-07,7,100,Stacking,5.5821973067509765
2020-07,7,200,Base,4.47352057712327
2020-07,7,200,Stacking,4.830840062589091
2020-07,7,400,Base,16.288539707995678
2020-07,7,400,Stacking,15.689725113300456
2020-07,7,800,Base,35.343675842690025
2020-07,7,800,Stacking,35.0726195067192
2020-07,42,100,Base,5.618519173659443
2020-07,42,100,Stacking,5.5928513914751115
2020-07,42,200,Base,4.047624449755305
2020-07,42,200,Stacking,4.307007607194339
2020-07,42,400,Base,6.87391668809099
2020-07,42,400,Stacking,7.408692579086053
2020-07,42,800,Base,6.902684965135613
