Year,Seed,Base_100,Full_100,Volume_100,Volume_minus_Base_pp,Volume_minus_Full_pp
2020,2025,13.058727718444505,14.489179268920694,12.874808116247333,-0.18391960219717163,-1.6143711526733604
2021,7,7.3002568688053575,6.18460284534138,6.4987377082191795,-0.801519160586178,0.31413486287779957
2021,42,5.830128795248822,6.967905686501721,14.866290446128374,9.036161650879553,7.898384759626653
2021,123,18.61842245016156,5.666309418811224,13.264202689662074,-5.354219760499486,7.59789327085085
2021,2024,5.49257919333334,6.282367546946745,5.531480055003644,0.03890086167030393,-0.750887491943101
2021,2025,7.389457464717491,5.709776457975637,9.41330299153526,2.0238455268177695,3.703526533559624
2022,7,43.32479803454865,37.18168106466623,39.89341223641581,-3.431385798132837,2.711731171749584
2022,42,18.520321363157763,31.962203826775497,47.16329654599521,28.642975182837446,15.201092719219712
2022,123,35.74802142859428,21.203241975881284,34.30991891088438,-1.4381025177099005,13.106676935003094
2022,2024,37.3490026828882,34.09351070335901,47.727993563623386,10.378990880735188,13.634482860264377
2022,2025,40.394685627127146,30.239450935547506,36.288025254523745,-4.1066603726034,6.0485743189762395
2023,7,14.711287078305752,14.89449000972931,14.48648343540307,-0.22480364290268184,-0.4080065743262402
2023,42,20.39080711050813,13.032543000370081,14.385990871854181,-6.00481623865395,1.3534478714841
2023,123,12.364504699569661,11.004126188990705,11.669390019224611,-0.6951146803450499,0.665263830233906
2023,2024,9.768917146231768,13.276969209364955,10.124191017066531,0.3552738708347629,-3.152778192298424
2023,2025,9.128247847780576,17.027568600088998,10.70197353383658,1.5737256860560027,-6.3255950662524185
2024,7,6.9911451581968596,9.441147991964806,6.430676586443816,-0.5604685717530433,-3.01047140552099
2024,42,7.222862414832744,9.682320652040598,8.285753475377424,1.06289106054468,-1.396567176663174
2024,123,7.83222425024556,6.941139984134037,7.947707850307033,0.11548360006147274,1.006567866172996
2024,2024,9.316453470233428,9.27801359061344,6.5771380360286225,-2.739315434204806,-2.700875554584818
2024,2025,8.151412686943527,8.041221554428418,8.73758020634891,0.5861675194053841,0.6963586519204927
2025,7,16.629368888946395,17.89089033179638,16.760395947454263,0.13102705850786833,-1.1304943843421178
2025,42,18.73096522754334,16.80724172214502,16.883426469870564,-1.8475387576727762,0.07618474772554507
2025,123,15.850040572086243,18.90606473613743,15.810276692440329,-0.0397638796459141,-3.0957880436971017
2025,2024,17.197709308598238,16.460564228293045,18.32592554344384,1.1282162348456026,1.8653613151507962
2025,2025,16.0003942561842,18.162227959884763,17.527046542079546,1.526652285895345,-0.6351814178052173
2026,7,7.792281453466606,8.507043937196194,6.36940963835537,-1.4228718151112352,-2.1376342988408235
2026,42,11.45834334363982,6.022376266447848,8.196452692088737,-3.2618906515510826,2.174076425640889
2026,123,8.393289335211792,7.553325635033032,7.33371097014093,-1.0595783650708617,-0.21961466489210135
2026,2024,9.149437479236179,6.809991704159223,5.91933249986106,-3.2301049793751186,-0.8906592042981627
2026,2025,11.813012545053917,6.857782116899775,8.243378411961752,-3.5696341330921655,1.3855962950619771
