Month,Seed,Model,APE
8,123,Full_100,15.051599597653448
8,123,Volume_100,27.01563683155653
8,2024,Base_100,17.278917109096405
8,2024,Full_100,18.548825644034473
8,2024,Volume_100,5.809099864841478
8,2025,Base_100,10.856193381837848
8,2025,Full_100,14.10318837229793
8,2025,Volume_100,5.130220977685274
9,7,Base_100,11.475957364242044
9,7,Full_100,35.05599000338635
9,7,Volume_100,30.077134467573046
9,42,Base_100,15.084181107508186
9,42,Full_100,26.603744103377423
9,42,Volume_100,23.852613833890643
9,123,Base_100,27.10777517409498
9,123,Full_100,28.30304076207248
9,123,Volume_100,33.75446311136355
9,2024,Base_100,25.825207121618106
9,2024,Full_100,25.891497668371546
9,2024,Volume_100,9.701687747315047
9,2025,Base_100,18.90559987075702
9,2025,Full_100,26.37191004950844
9,2025,Volume_100,7.676175752390498
10,7,Base_100,8.924521551504744
10,7,Full_100,33.38162351474761
10,7,Volume_100,28.732292944453974
10,42,Base_100,13.113323893853078
10,42,Full_100,24.327670717473207
10,42,Volume_100,21.805798993619444
10,123,Base_100,23.6606502725768
10,123,Full_100,26.129339176436638
10,123,Volume_100,32.14315729129025
10,2024,Base_100,24.32416327683845
10,2024,Full_100,24.980458566504822
10,2024,Volume_100,8.50737941244979
10,2025,Base_100,15.53462496331512
10,2025,Full_100,23.64629980204122
10,2025,Volume_100,5.495746302848693
11,7,Base_100,21.86253109278379
11,7,Full_100,44.993023863185144
11,7,Volume_100,39.8157181204687
11,42,Base_100,24.77675800426205
11,42,Full_100,37.28588114015585
11,42,Volume_100,33.395955974801296
11,123,Base_100,33.50993967457127
11,123,Full_100,36.91981606985203
11,123,Volume_100,41.247881893643374
11,2024,Base_100,36.21271097448664
11,2024,Full_100,37.574217487219315
11,2024,Volume_100,21.06792412237382
11,2025,Base_100,27.609200932137064
11,2025,Full_100,36.135997869892904
11,2025,Volume_100,20.408907358662315
12,7,Base_100,21.206618333132415
12,7,Full_100,44.89155439690198
12,7,Volume_100,42.44891240921288
12,42,Base_100,21.615446992608412
12,42,Full_100,37.06787082479798
12,42,Volume_100,33.87469192984171
12,123,Base_100,35.606386123304674
12,123,Full_100,33.71055931262743
12,123,Volume_100,43.41335095865157
12,2024,Base_100,37.11275354208781
12,2024,Full_100,39.57911646771707
12,2024,Volume_100,22.569947058973902
12,2025,Base_100,27.432395143279525
12,2025,Full_100,33.543952361436254
12,2025,Volume_100,22.33210520950258
