,volume_growth_5,volume_growth_10,Volume_source_date,Actual_trading_day
2019-06-06,-0.22699522275038253,0.08790445790890189,2019-06-06,True
2019-06-07,-0.22699522275038253,0.08790445790890189,2019-06-06,False
2019-06-10,-0.044952734072981615,0.33419273421844786,2019-06-10,True
2019-06-11,-0.11712483724236733,0.18651476802175138,2019-06-11,True
2019-06-12,1.4552658994923178,1.7146265421025735,2019-06-12,True
2019-06-13,-0.047453266527054505,0.1106414203728392,2019-06-13,True
2019-06-14,0.44152265971015403,0.610308180781612,2019-06-14,True
2019-06-17,-0.23130912076968935,-0.10447280588923724,2019-06-17,True
2019-06-18,-0.3841238405412648,-0.293281330040853,2019-06-18,True
2019-06-19,-0.23199679199371026,-0.07081719350476112,2019-06-19,True
2019-06-20,1.7804491591550233,1.7897361086796115,2019-06-20,True
2019-06-21,1.5428769527262527,1.911531861290492,2019-06-21,True
2019-06-24,0.10947392722210258,0.3260643636219225,2019-06-24,True
2019-06-25,1.1664236206906349,1.687539526769843,2019-06-25,True
2019-06-26,0.03713054241960312,0.433252518056054,2019-06-26,True
2019-06-27,-0.48008201502339465,-0.21647626943462517,2019-06-27,True
2019-06-28,-0.41902344332665886,-0.21749966566060386,2019-06-28,True
2019-07-01,-0.3636389136810396,-0.26056332824852413,2019-07-01,True
2019-07-02,-0.4898874719854861,-0.44368487306755555,2019-07-02,True
2019-07-03,-0.007936681751974928,-0.21536176455495948,2019-07-03,True
2019-07-04,-0.0957941386085146,-0.39217499434288616,2019-07-04,True
2019-07-05,-0.5468038376283472,-0.6838674777325855,2019-07-05,True
2019-07-08,-0.2250418677250431,-0.4577562984781144,2019-07-08,True
2019-07-09,-0.5754780140258202,-0.7128700042115559,2019-07-09,True
2019-07-10,-0.5128502562542561,-0.6305934268540564,2019-07-10,True
2019-07-11,0.3073616998936066,-0.08832657602662686,2019-07-11,True
2019-07-12,-0.18467039297072974,-0.45147525729377813,2019-07-12,True
2019-07-15,-0.3237890093174466,-0.5084241033612448,2019-07-15,True
2019-07-16,-0.31476655125061215,-0.5211502397301996,2019-07-16,True
2019-07-17,-0.24485427082782407,-0.43724819315161545,2019-07-17,True
2019-07-18,0.07968177088074624,-0.06840580301885568,2019-07-18,True
2019-07-19,1.5158119873556681,1.0990874822951207,2019-07-19,True
2019-07-22,0.06320352037961707,0.023208427399260323,2019-07-22,True
2019-07-23,-0.360011427197202,-0.3166208176722979,2019-07-23,True
2019-07-24,-0.146703324518361,-0.0762979153863742,2019-07-24,True
2019-07-25,-0.15919411903893366,-0.06696470998706627,2019-07-25,True
2019-07-26,-0.27262110118218474,-0.14559097524643494,2019-07-26,True
2019-07-29,-0.3253957476785888,-0.3670348137645726,2019-07-29,True
2019-07-30,0.5581447892936549,0.32615847774167706,2019-07-30,True
2019-07-31,0.3260156364484563,0.20811128791139732,2019-07-31,True
2019-08-01,0.2897931615621938,0.18641880840422642,2019-08-01,True
2019-08-02,-0.006925126652992941,-0.054956627997303054,2019-08-02,True
2019-08-05,2.2001923226434035,2.4780813719274084,2019-08-05,True
2019-08-06,0.7726523838032588,1.3759243785591053,2019-08-06,True
2019-08-07,0.23045777537065426,0.6779161256721129,2019-08-07,True
2019-08-08,-0.030787492520941928,0.34496576070056606,2019-08-08,True
2019-08-09,-0.3867986801442571,-0.1443308494479102,2019-08-09,True
2019-08-12,-0.5857987128920973,-0.4223154103842507,2019-08-12,True
2019-08-13,0.16511714698910596,0.2782233968308938,2019-08-13,True
2019-08-14,-0.10717188177404324,-0.1290757660312275,2019-08-14,True
2019-08-15,-0.04975252614048442,-0.16687292608099358,2019-08-15,True
2019-08-16,-0.30915619662430427,-0.44046020884335135,2019-08-16,True
2019-08-19,-0.04258260336683384,-0.2606560953585767,2019-08-19,True
2019-08-20,-0.17417354575237476,-0.25189404447085295,2019-08-20,True
2019-08-21,-0.5025136017700516,-0.5648260744226956,2019-08-21,True
2019-08-22,-0.4093064062237981,-0.4995760908003697,2019-08-22,True
2019-08-23,-0.3102731687763718,-0.44619846227394033,2019-08-23,True
2019-08-26,0.5926000034028898,0.2577283044149892,2019-08-26,True
2019-08-27,0.3113800466411696,0.014848721355197103,2019-08-27,True
2019-08-28,0.16769183369642682,-0.026653181172600182,2019-08-28,True
2019-08-29,0.03931268737269433,-0.015913519720847202,2019-08-29,True
2019-08-30,-0.2209124551240922,-0.17473444541653305,2019-08-30,True
2019-09-01,-0.2209124551240922,-0.17473444541653305,2019-08-30,False
2019-09-02,0.07342726234660257,0.19205025710000867,2019-09-02,True
2019-09-03,0.06631635423982729,0.14925695040423403,2019-09-03,True
2019-09-04,0.15233130607776535,0.23519626699092266,2019-09-04,True
2019-09-05,0.2106503298757596,0.2601491323743055,2019-09-05,True
2019-09-06,0.28365112387038827,0.3205427170469568,2019-09-06,True
2019-09-09,-0.1927632291938569,-0.1408712216638044,2019-09-09,True
2019-09-10,-0.3368298786166152,-0.28971054071527436,2019-09-10,True
2019-09-11,-0.12344116559379803,-0.07973327058466284,2019-09-11,True
2019-09-12,-0.45652353027422765,-0.44616881625220983,2019-09-12,True
2019-09-13,-0.45652353027422765,-0.44616881625220983,2019-09-12,False
2019-09-16,-0.2058158038105058,-0.26292718570844953,2019-09-16,True
2019-09-17,-0.07275012147042115,-0.25407980412191,2019-09-17,True
2019-09-18,-0.389556919173612,-0.5172312627347776,2019-09-18,True
2019-09-19,-0.22017260762523605,-0.3945674296403008,2019-09-19,True
2019-09-20,-0.13287854960931533,-0.36524015083366657,2019-09-20,True
2019-09-23,-0.27905333436439983,-0.4322232715671186,2019-09-23,True
2019-09-24,0.03145161136141761,-0.16672551662234414,2019-09-24,True
2019-09-25,-0.013150405544214538,-0.20926671359783078,2019-09-25,True
2019-09-26,0.8357464150608767,0.558784688117056,2019-09-26,True
2019-09-27,-0.1779541639144313,-0.19072849934650826,2019-09-27,True
2019-09-29,-0.1779541639144313,-0.19072849934650826,2019-09-27,False
