Year,Model,Split,N,MAPE,MAE,RMSE,MPE
2018,Base_400,Train,1494,2.055782105346408,0.07060414902177681,0.10331268592180146,0.004762778249737297
2018,Base_400,Test,269,5.879820251661934,0.2437006419298817,0.3277044272090529,-2.131289803263707
2018,Full_100,Train,1494,2.6374583171705748,0.0889120051372482,0.11772320422714404,0.10548467977348358
2018,Full_100,Test,269,7.565461359906547,0.32466069299492245,0.45175681514125876,-6.9753392292397525
2019,Base_100,Train,1763,2.714548567954179,0.09522698878430536,0.13552048982466539,0.11728355906680585
2019,Base_100,Test,271,7.476557768948795,0.2512619707593179,0.2975343313087191,6.6561430454650194
2019,Base_400,Train,1763,2.022324606390506,0.07130993175019745,0.10201487690820167,0.05501283703279455
2019,Base_400,Test,271,10.564514914554966,0.35718206497136074,0.41001414760932076,10.321769011118548
2019,Full_100,Train,1763,2.830922630619537,0.09943600787672885,0.13973064472690183,0.13972356916966946
2019,Full_100,Test,271,7.619765685173606,0.25937902587806166,0.2973080045950394,7.182758127148131
2020,Base_100,Train,2034,2.785545104315281,0.09745234896416978,0.13480569793999772,0.16836296823932098
2020,Base_100,Test,271,13.211029900403837,0.7913496283851426,1.0089177220880745,-2.9253933771333185
2020,Base_400,Train,2034,2.028682149002565,0.07086883382225223,0.09833033316636992,0.1355490066006362
2020,Base_400,Test,271,13.871515304195595,0.7529483372170986,0.9091344183384781,3.343168238193851
2020,Full_100,Train,2034,2.95785907757196,0.10342634264346771,0.1389978549174662,0.1399007333248618
2020,Full_100,Test,271,15.66673673685097,1.0631012415797947,1.5448105605252649,-11.304171156078553
2021,Base_100,Train,2305,3.4497125730719267,0.1304008917198264,0.17776063954128957,0.19318481305375512
2021,Base_100,Test,272,5.830128795248822,0.6424395168528837,0.8736986417383831,0.2654742289750295
2021,Base_400,Train,2305,2.378719394658631,0.09201770355489405,0.1336682730032586,-0.22564281658072763
2021,Base_400,Test,272,11.46273740366027,1.2692289229000318,1.4656455698902688,-11.34487348470836
2021,Full_100,Train,2305,3.4055015372233357,0.12672702405768205,0.17404365921745943,0.20233539761270541
2021,Full_100,Test,272,6.967905686501721,0.7792756111481609,0.9947909580622026,-6.03001522088211
2022,Base_100,Train,2577,4.105352680460332,0.19322626107600385,0.29739813385920283,0.3332165471477211
2022,Base_100,Test,274,18.520321363157763,1.7888195546700136,2.0229099415116583,-18.251737613997587
2022,Base_400,Train,2577,2.8368814276787293,0.13275568099460447,0.20566831060587373,0.1319505531664134
2022,Base_400,Test,274,15.938075975491891,1.4777663445994802,1.9498606717366003,-14.238825965777366
2022,Full_100,Train,2577,4.467758148130963,0.1964334630022504,0.27944014670627104,0.3858524041885131
2022,Full_100,Test,274,31.962203826775497,3.043572063968129,3.309911706365219,-31.526966139885538
2023,Base_100,Train,2851,4.005702181116088,0.21117628511651612,0.32496817201552813,0.30537429155182116
2023,Base_100,Test,273,20.39080711050813,2.4846672568129096,2.590861813548797,-20.39080711050813
2023,Base_400,Train,2851,2.843160565251475,0.14771191127674071,0.22759578377398673,0.12187330644266041
2023,Base_400,Test,273,10.954384984138546,1.3527307580242227,1.5445331578851786,-10.919561736039467
2023,Full_100,Train,2851,4.6707144386735475,0.22159172779633177,0.31576377466650785,0.4796996298609285
2023,Full_100,Test,273,13.032543000370081,1.5918298394339425,1.7163964160906007,-12.828877537895014
2024,Base_100,Train,3124,4.399371545401336,0.24871297860725586,0.37637338411243276,0.35750181424257305
2024,Base_100,Test,273,7.222862414832744,1.193632698059082,1.4113475690074986,-3.9858547103300146
2024,Base_400,Train,3124,3.3307696579910564,0.1921353680070933,0.29393079993135024,0.18039722871535277
2024,Base_400,Test,273,7.8470608492629195,1.2394064813131815,1.605476188941423,0.9056440479895842
2024,Full_100,Train,3124,4.8959141268877255,0.249306467583787,0.3436042514815043,0.3978160109187134
2024,Full_100,Test,273,9.682320652040598,1.6057242782648666,1.8932243198284535,-9.273511964709998
2025,Base_100,Train,3397,4.473029853328764,0.2950112749065481,0.4685636871486744,0.19077921575186105
2025,Base_100,Test,268,18.73096522754334,4.175395514644793,4.624231172516188,3.430990046828354
2025,Base_400,Train,3397,3.2228572243137132,0.20553905728777824,0.306133929631749,0.1504141630657206
2025,Base_400,Test,268,16.12383773036901,3.7258475835999443,4.304107780449324,0.45775813553614997
2025,Full_100,Train,3397,5.091898560206866,0.29252254260088156,0.40172432568362326,0.1667642580081401
2025,Full_100,Test,268,16.80724172214502,3.68610169538811,4.056919619103347,4.73190976311033
2026,Base_100,Train,3665,5.523382324490338,0.3971527679256008,0.5971954519950684,0.405703548683163
2026,Base_100,Test,152,11.45834334363982,3.516698014108758,4.540250211995245,10.456617215994026
2026,Base_400,Train,3665,3.697109806002928,0.25119711005769024,0.37810462688870783,0.21650317107267614
2026,Base_400,Test,152,8.68054127755281,2.750887942063181,3.2268055571650303,7.030933472826321
2026,Full_100,Train,3665,5.943793057531749,0.4291917767674341,0.6688279744667891,0.5185001762562855
2026,Full_100,Test,152,6.022376266447848,2.015016745517128,2.3158217058501274,-0.3770362069047996
