Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
H240,2020-06,741131,Stacking,50,0.019061055197028675,0.03905016158738728,0.07372289445613125
H240,2020-06,741131,Stacking,51,0.018693116778306755,0.03855498684910625,0.07278805287075288
H240,2020-06,741131,Stacking,52,0.018402514160974087,0.03808383565284468,0.07189856538842475
H240,2020-06,741131,Stacking,53,0.018150999721418547,0.03752490988157441,0.0708433680737617
H240,2020-06,741131,Stacking,54,0.017962854688300795,0.03693060091753483,0.06972137074393824
H240,2020-06,741131,Stacking,55,0.017849710987165375,0.0364275416662516,0.06877164396740391
H240,2020-06,741131,Stacking,56,0.017758901532618707,0.03612376695345454,0.06819814695280481
H240,2020-06,741131,Stacking,57,0.017636415332299232,0.03605735054572132,0.06807275925609799
H240,2020-06,741131,Stacking,58,0.01749133289313347,0.03626576117013766,0.06846621817772112
H240,2020-06,741131,Stacking,59,0.01733998888749546,0.03670889559582007,0.06930281273114838
H240,2020-06,741131,Stacking,60,0.01719897980642537,0.03727166132532297,0.07036525951224108
H240,2020-06,741131,Stacking,61,0.017066282333554887,0.03780640717783922,0.07137480749983874
H240,2020-06,741131,Stacking,62,0.016963923899267763,0.03821895354666011,0.07215365478677714
H240,2020-06,741131,Stacking,63,0.016907231542894405,0.03850050750138611,0.07268520117850001
H240,2020-06,741131,Stacking,64,0.01687756923845459,0.03864070011979711,0.07294987116168342
H240,2020-06,741131,Stacking,65,0.016839731400443075,0.03862849011640643,0.0729268198667671
H240,2020-06,741131,Stacking,66,0.01678752718870248,0.03845021100745044,0.07259024630601799
H240,2020-06,741131,Stacking,67,0.01673277828631051,0.03809355951041605,0.07191692308263906
H240,2020-06,741131,Stacking,68,0.016666477389034533,0.03753194261938025,0.07085664519646545
H240,2020-06,741131,Stacking,69,0.01658331098859234,0.03681234584293074,0.06949811670273717
H240,2020-06,741131,Stacking,70,0.01649314112190149,0.036057558637694415,0.06807315211343701
H240,2020-06,741131,Stacking,71,0.016416159407258286,0.035406837510383794,0.06684465412420999
H240,2020-06,741131,Stacking,72,0.016349041499118436,0.03492889091926157,0.06594233759949802
H240,2020-06,741131,Stacking,73,0.016282230114664897,0.03462430349081406,0.06536730625705788
H240,2020-06,741131,Stacking,74,0.016212328924133684,0.03445050300816216,0.06503918790573436
H240,2020-06,741131,Stacking,75,0.016144822895697936,0.034344866640786405,0.06483975675241264
H240,2020-06,741131,Stacking,76,0.01607740238639286,0.03425318658897901,0.06466667376098881
H240,2020-06,741131,Stacking,77,0.016008645551954852,0.03415180089898873,0.06447526747177822
H240,2020-06,741131,Stacking,78,0.01594489392504508,0.03405694019082682,0.06429617971153415
H240,2020-06,741131,Stacking,79,0.015897742437633536,0.034015460821538966,0.06421787070998823
H240,2020-06,741131,Stacking,80,0.01585911946200101,0.03405127151396984,0.06428547780279306
H240,2020-06,741131,Stacking,81,0.015817879117188283,0.03415427562096616,0.06447993950538151
H240,2020-06,741131,Stacking,82,0.01577657155172389,0.03428113253020819,0.06471943297098863
H240,2020-06,741131,Stacking,83,0.01573436849920807,0.03436499390713963,0.0648777550672142
H240,2020-06,741131,Stacking,84,0.015689639838641575,0.03435030439225611,0.06485002269655689
H240,2020-06,741131,Stacking,85,0.015642956655335043,0.03423662995819168,0.06463541645770335
H240,2020-06,741131,Stacking,86,0.015600498878460009,0.034070315631690544,0.06432143123867301
H240,2020-06,741131,Stacking,87,0.015563003187293931,0.03391905637922909,0.06403586853031457
H240,2020-06,741131,Stacking,88,0.015525849797904655,0.033818073828633145,0.06384522332894105
H240,2020-06,741131,Stacking,89,0.01548679461574605,0.03376404420716174,0.06374322067596028
H240,2020-06,741131,Stacking,90,0.015447625931112109,0.03374079976538078,0.06369933743813361
H240,2020-06,741131,Stacking,91,0.015406620922113982,0.03372065265648107,0.06366130166254057
H240,2020-06,741131,Stacking,92,0.015364304861910599,0.03368848075229728,0.06360056424686339
H240,2020-06,741131,Stacking,93,0.015324323636059808,0.03365158727452174,0.06353091296098896
H240,2020-06,741131,Stacking,94,0.015287730341046584,0.03362756328606973,0.06348555801511763
H240,2020-06,741131,Stacking,95,0.015254034123974998,0.03362174176256398,0.06347456754681885
H240,2020-06,741131,Stacking,96,0.015220218074513837,0.03361730901735422,0.06346619895642214
H240,2020-06,741131,Stacking,97,0.015185578201062762,0.033593862358831265,0.06342193395311944
H240,2020-06,741131,Stacking,98,0.01515022319267869,0.033527240404531984,0.0632961582045537
H240,2020-06,741131,Stacking,99,0.015115053519558986,0.03340991983628085,0.06307466842015533
H240,2020-06,741131,Stacking,100,0.015080816700451945,0.0332674701036059,0.06280573722549694
H240,2020-07,965409,Base,1,0.25607644032713156,0.5309896505679427,1.0046581906934091
H240,2020-07,965409,Base,2,0.215481965424713,0.5233851096317864,0.9902700301524249
H240,2020-07,965409,Base,3,0.18952472799942097,0.5243470973133403,0.9920901575364247
H240,2020-07,965409,Base,4,0.17765737619680247,0.530724603374549,1.0041567085393248
H240,2020-07,965409,Base,5,0.17898031943206427,0.5368657720878939,1.0157760978093284
H240,2020-07,965409,Base,6,0.17914791322202328,0.5320435551333994,1.00665222928298
H240,2020-07,965409,Base,7,0.17034606808492184,0.5166269582667525,0.9774832797598983
H240,2020-07,965409,Base,8,0.15738677609766816,0.4967934959647598,0.9399574064586138
H240,2020-07,965409,Base,9,0.14630607151465072,0.4778086420583002,0.904037141429264
H240,2020-07,965409,Base,10,0.13914641559327048,0.4612603357953001,0.8727269428002631
H240,2020-07,965409,Base,11,0.1349090052137323,0.4464481131746165,0.8447014986841167
H240,2020-07,965409,Base,12,0.13146550424768208,0.43231099897640113,0.8179533924699677
H240,2020-07,965409,Base,13,0.12701127866314105,0.41786874132828794,0.790627940038339
H240,2020-07,965409,Base,14,0.1209700565801728,0.4021875767444354,0.7609584155533923
H240,2020-07,965409,Base,15,0.11377648736900836,0.3846173637554944,0.7277147198002137
H240,2020-07,965409,Base,16,0.1070623298919199,0.36538243183672053,0.6913212950339177
H240,2020-07,965409,Base,17,0.10298108414057604,0.3451751974173533,0.6530882267453646
H240,2020-07,965409,Base,18,0.10202363294764367,0.32453501459909984,0.6140359990727757
H240,2020-07,965409,Base,19,0.10184059757803644,0.3033973085938235,0.5740424333828305
H240,2020-07,965409,Base,20,0.09943514913205967,0.28185129458614877,0.5332763291349368
H240,2020-07,965409,Base,21,0.09456357326125658,0.26173653291471377,0.4952182237736775
H240,2020-07,965409,Base,22,0.0894122940709974,0.24542352978189058,0.46435323008751334
H240,2020-07,965409,Base,23,0.08574532682967932,0.2328364827151806,0.44053792611937026
H240,2020-07,965409,Base,24,0.08267179443487725,0.2230952055484375,0.42210695692267236
H240,2020-07,965409,Base,25,0.07878778235227989,0.21569176930875086,0.40809929622811447
H240,2020-07,965409,Base,26,0.07442781286972365,0.20967362498875725,0.39671267508137525
H240,2020-07,965409,Base,27,0.07110711126782676,0.20485874794279438,0.38760269401821457
H240,2020-07,965409,Base,28,0.06945820680290923,0.2015919650766092,0.3814217822806328
H240,2020-07,965409,Base,29,0.06839923512569036,0.20044905256014808,0.379259336327721
H240,2020-07,965409,Base,30,0.06678852749204578,0.2016307256651593,0.381495119195432
H240,2020-07,965409,Base,31,0.06473084701709372,0.20456010018486623,0.38703763796521273
H240,2020-07,965409,Base,32,0.0628836123636899,0.20786683750665977,0.3932941454720128
H240,2020-07,965409,Base,33,0.06099942278273103,0.209580259750232,0.39653602351856215
H240,2020-07,965409,Base,34,0.058457442667801,0.20804120498373124,0.39362405720163507
H240,2020-07,965409,Base,35,0.0554864391285115,0.2027538752033166,0.383620172634188
H240,2020-07,965409,Base,36,0.052973708532582944,0.19425883248346854,0.3675471394975587
H240,2020-07,965409,Base,37,0.051210816971418306,0.1838382075797743,0.3478308114101046
