Effective_date,Extra_features,Seed,Train_start,Train_end,Train_N,Stage2_features
2018-09-24,True,785634,2012-06-05,2018-09-21,1689,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-09-30,False,785634,2012-06-05,2018-09-29,1695,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-09-30,True,785634,2012-06-05,2018-09-29,1695,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-04,False,741131,2012-06-05,2018-10-03,1699,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-04,True,741131,2012-06-05,2018-10-03,1699,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-05,False,741131,2012-06-05,2018-10-04,1700,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-05,True,741131,2012-06-05,2018-10-04,1700,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-12,False,550343,2012-06-05,2018-10-11,1705,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-12,True,550343,2012-06-05,2018-10-11,1705,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-15,False,550343,2012-06-05,2018-10-12,1706,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-15,True,550343,2012-06-05,2018-10-12,1706,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-16,False,550343,2012-06-05,2018-10-15,1707,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-16,True,550343,2012-06-05,2018-10-15,1707,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-22,False,550343,2012-06-05,2018-10-19,1711,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-22,True,550343,2012-06-05,2018-10-19,1711,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-10-31,False,741131,2012-06-05,2018-10-30,1718,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-10-31,True,741131,2012-06-05,2018-10-30,1718,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-11-02,False,741131,2012-06-05,2018-11-01,1720,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-11-02,True,741131,2012-06-05,2018-11-01,1720,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-12-19,False,374583,2012-06-05,2018-12-18,1753,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-12-19,True,374583,2012-06-05,2018-12-18,1753,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-12-20,False,374583,2012-06-05,2018-12-19,1754,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-12-20,True,374583,2012-06-05,2018-12-19,1754,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-12-30,False,374583,2012-06-05,2018-12-29,1762,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-12-30,True,374583,2012-06-05,2018-12-29,1762,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2018-12-31,False,374583,2012-06-05,2018-12-30,1763,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2018-12-31,True,374583,2012-06-05,2018-12-30,1763,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
