alpha,mean_training_mse,mean_validation_rmse,mean_validation_mse
3.1952475057592136e-05,0.201362605699872,2.2080574207227364,7.46902922105758
3.2397426295281954e-05,0.20136260730149647,2.2080543250877156,7.469005909667915
3.284857366030047e-05,0.20136260894783758,2.208051186488683,7.468982274077459
3.3306003436245885e-05,0.20136261071112443,2.208047973212118,7.468958275969234
3.3769803108250876e-05,0.20136261246626536,2.208044128280489,7.468928493564806
3.4240061379714256e-05,0.20136261430021354,2.2080406641852415,7.468902440426646
3.4716868189265594e-05,0.2013626161158058,2.2080367393754394,7.468876580600799
3.520031472796683e-05,0.20136261800621078,2.2080333770836917,7.468851255562217
3.56904934567523e-05,0.2013626200301931,2.208029935032456,7.468825542384394
3.618749812411277e-05,0.20136262204682956,2.208025768998904,7.468793214998518
3.669142378402494e-05,0.20136262410114564,2.2080222649183368,7.468766819018866
3.720236681413066e-05,0.20136262621281048,2.208018712226669,7.46874005600287
3.7720424934170016e-05,0.20136262847428227,2.2080150749605414,7.4687128825104905
3.824569722466999e-05,0.20136263080681327,2.2080098434360655,7.468676090874274
3.877828414589453e-05,0.20136263310240646,2.208006141102854,7.468648196367724
3.93182875570577e-05,0.20136263546206662,2.208002387419382,7.4686199140201905
3.986581073580439e-05,0.2013626378875859,2.2079985816763616,7.468591238447692
4.04209583979631e-05,0.20136264045744792,2.207993636893144,7.468553466973755
4.098383671757261e-05,0.20136264302083076,2.20798972500256,7.468523988888515
4.15545533471888e-05,0.2013626456557598,2.2079857588676655,7.4684941009806405
4.213321743847289e-05,0.20136264843239418,2.207981499725227,7.468462049778911
4.271993966306776e-05,0.20136265139368148,2.2079757268533657,7.468421465773234
4.331483223376403e-05,0.2013626542581084,2.207971593778739,7.468390314581879
4.391800892596086e-05,0.2013626572024616,2.2079674034066534,7.4683587303477355
4.45295850994266e-05,0.2013626602289771,2.2079631549464396,7.468326707061553
4.5149677720361016e-05,0.20136266337945416,2.207957672453385,7.468283821766766
4.577840538376616e-05,0.20136266670939634,2.207953263148646,7.468250856452802
4.641588833612782e-05,0.20136266999826863,2.207948835755701,7.468217479660751
4.706224849841282e-05,0.20136267342877642,2.207943252619314,7.468180479615666
4.7717609489387505e-05,0.20136267690394286,2.207938701866182,7.468146168728984
4.838209664925957e-05,0.2013626806240377,2.207934043119736,7.468111332150407
