,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,gold_5,gold_20,copper_5,copper_20
2018-11-29,1251.633984555906,96.77999877929688,3.36,3.03,58.29,2.788,768.0868501538422,0.0025388825437653306,-0.009627851467687965,-0.0035739814152967453,0.02180685358255441
2018-11-30,1264.5251137110974,97.2699966430664,3.355,3.01,57.71,2.7865,765.6396991633468,-0.0006552406454751747,-0.008692885717734189,0.00450612833453512,-0.009420547458229622
2018-12-03,1302.1078473360462,97.04000091552734,3.35,2.98,60.17,2.8085,774.2360935047747,0.011227728069510556,0.003333855442471778,0.016283698208793274,0.016099855282199815
2018-12-04,1306.1848239056803,96.97000122070312,3.305,2.91,61.22,2.757,778.7538517983485,0.02468628271090445,0.014136236368333721,0.015095729013254733,0.006388027012228514
2018-12-05,1271.5219938241044,96.80999755859375,3.275,2.87,61.4,2.775,776.8714397434355,0.013672794201790017,0.009704799288802413,-0.010695187165775444,0.005070626584570803
2018-12-06,1271.5219938241044,96.80999755859375,3.2751,2.87,57.83,2.744,776.8714397434355,0.01143697433152746,0.012429430753472914,-0.01578192252510746,0.0005469462169553907
2018-12-07,1271.1358188868578,96.51000213623047,3.2853,2.85,61.71,2.7595,782.3304806600084,0.021799785871736477,0.033488083219895826,-0.009689574735331163,0.025455221107395065
2018-12-10,1257.4817764627826,97.22000122070312,3.2678,2.85,60.29,2.72,780.3852602601644,0.007942237267128727,0.035295014251528034,-0.03151148299804163,0.013224064071521768
2018-12-11,1263.35570050827,97.38999938964844,3.2652,2.89,59.73,2.768,779.2558589845423,0.0006446288323769256,0.03560713390661885,0.0039898440333694385,0.027087198515769906
2018-12-12,1266.8036910194003,97.04000091552734,3.2703,2.91,59.94,2.7715,780.8245356969696,0.005088481505819864,0.030217732645303697,-0.0012612612612612484,0.019683590875643864
2018-12-13,1285.6112089453213,97.05999755859375,3.3311,2.91,59.03,2.7665,779.7577895751934,0.0037153506797871216,0.024653612417513404,0.00819970845481044,0.0045388525780682976
2018-12-14,1262.1989904283785,97.44000244140625,3.3468,2.89,58.56,2.7615,776.1812373090761,-0.007860160767026003,0.013269946366258667,0.0007247689798874912,-0.014981273408239737
2018-12-17,1259.7135336894078,97.0999984741211,3.3713,2.86,57.59,2.7545,782.7069477518826,0.0029750529769669853,0.019867589987060397,0.012683823529411775,-0.017478152309612915
2018-12-18,1249.129654605717,97.13999938964844,3.3714,2.82,55.26,2.665,783.8363490275046,0.005878030931883105,0.02477436519431908,-0.0372109826589595,-0.038426844668951854
2018-12-19,1232.9534978593424,97.04000091552734,3.3412,2.77,55.6,2.7195,785.656029333029,0.006187681630350772,0.021455315475762626,-0.01876240303084975,-0.02892340653454739
2018-12-20,1225.05251833968,96.27999877929688,3.3003,2.79,52.84,2.7005,792.871942210195,0.016818238702233534,0.03488941489429753,-0.02385685884691857,-0.03484631879914224
2018-12-21,1212.4945739517746,96.95999908447266,3.3168,2.79,51.93,2.6765,786.7227754548052,0.013581284420472794,0.026863266853501155,-0.030780372985696136,-0.03514780100937276
2018-12-24,1218.418221649896,96.55000305175781,3.3483,2.74,51.49,2.666,795.3190932006903,0.016113496226183743,0.03876417859441683,-0.03212924305681619,-0.03528134611905198
2018-12-25,1203.6510227102804,97.05000305175781,3.3113,2.81,51.49,2.661,796.3857627269239,0.016010247183597892,0.047886395589665565,-0.0015009380863039157,-0.020250368188512557
2018-12-26,1203.6510227102804,97.05000305175781,3.3011,2.81,51.49,2.7045,796.3857627269239,0.013657036913474307,0.03913535762433207,-0.005515719801434171,-0.03582887700534765
2018-12-27,1196.3097064925298,96.4800033569336,3.2709,2.77,51.49,2.671,801.4683365516228,0.010842096792408329,0.043460562293306415,-0.01092390298092949,-0.0419655667144907
2018-12-28,1201.4410422658307,96.38999938964844,3.2315,2.72,50.57,2.6815,803.0997450134387,0.020816696897030695,0.04892646748989948,0.001868111339435874,-0.037681679526287426
2018-12-29,1185.847777389022,96.16999816894531,3.2265,2.69,54.06,2.631,803.7899474477982,0.010650887573964374,0.038171630321754524,-0.013128282070517638,-0.06320099697347348
2018-12-30,1185.847777389022,96.16999816894531,3.2265,2.69,54.06,2.631,803.7899474477982,0.00929723391277304,0.032148920472925724,-0.011273957158962844,-0.045701849836779274
2018-12-31,1185.847777389022,96.16999816894531,3.2265,2.69,54.06,2.631,803.7899474477982,0.00929723391277304,0.0346498871335168,-0.02717692734331678,-0.05189189189189192
2019-01-01,1185.847777389022,96.81999969482422,3.1734,2.66,54.06,2.652,803.7899474477982,0.0028966969626826877,0.0346498871335168,-0.00711344065892916,-0.03352769679300294
2019-01-02,1185.847777389022,96.81999969482422,3.1734,2.66,54.06,2.623,803.7899474477982,0.0008594230525473812,0.027430181129700637,-0.021816147678538123,-0.04946548287733277
2019-01-03,1181.4909691684318,96.30999755859375,3.141,2.56,53.23,2.568,810.5666614837016,0.008430951466139813,0.03867500164402826,-0.02394526795895091,-0.055882352941176494
2019-01-04,1206.557497237978,96.19000244140625,3.1513,2.67,55.64,2.6475,804.8566169740318,0.0013270500951405584,0.03285282708409798,0.006271379703534752,-0.043533236994219626
2019-01-07,1217.7547556862808,95.70999908447266,3.1507,2.7,57.1,2.637,807.4293080588468,0.004527750841627709,0.03407266440229062,0.0022805017103764147,-0.048529677070178634
2019-01-08,1214.9303070381109,95.9000015258789,3.1211,2.73,56.91,2.656,805.1703523165173,0.0017173701575916578,0.03259032879321211,0.0015082956259426794,-0.03994216519067417
2019-01-09,1226.3170234913407,95.22000122070312,3.1106,2.74,59.46,2.657,808.9979847712742,0.00647935115388365,0.04227974844634197,0.012962256957681939,-0.03784175267064993
2019-01-10,1225.8252311605427,95.54000091552734,3.1006,2.74,60.47,2.6375,806.1115583439738,-0.005496282232448357,0.029902137267740825,0.02706386292834906,-0.04247594844799418
2019-01-11,1234.9653095859942,95.66999816894531,3.1058,2.71,59.24,2.662,807.6175033070125,0.003430283450188476,0.030339437956676596,0.005476864966949879,-0.0011257035647279645
2019-01-14,1223.7332082862108,95.58999633789062,3.1297,2.71,58.8,2.635,808.8724446769545,0.0017873225602587084,0.0295503559791106,-0.0007584376185059138,-0.03107188821474549
2019-01-15,1247.0775558320402,95.97000122070312,3.1383,2.72,58.65,2.6345,807.0527643714302,0.002337905325869194,0.01788538779882276,-0.008094879518072307,-0.024439918533604832
2019-01-16,1247.0528754789077,96.05999755859375,3.0745,2.73,59.81,2.6735,810.4411213893818,0.0017838568763748341,0.030148289428719055,0.0062100112909297955,-0.0011208668036614133
2019-01-17,1239.2684017438846,96.06999969482422,3.076,2.75,59.85,2.68,810.0646542975079,0.004903906801255964,0.01854043392504945,0.01611374407582944,0.005251312828207233
2019-01-18,1260.9802165192862,96.33999633789062,3.091,2.79,62.04,2.719,803.9782192915065,-0.004506197550949387,0.009533641759974731,0.021412471825694945,0.021796317173994773
2019-01-20,1251.2841042556186,96.30000305175781,3.1037,2.74,62.18,2.709,804.7311534752547,-0.005119832216998965,0.010479080790890993,0.028083491461100785,0.0016638935108153063
2019-01-21,1251.2841042556186,96.30000305175781,3.1037,2.74,62.18,2.682,804.7311534752547,-0.002876653173951582,0.004071049066854515,0.01802998671474665,0.0041183077499065135
2019-01-22,1251.2841042556186,96.30000305175781,3.1071,2.74,60.9,2.6595,804.7311534752547,-0.007045506161309056,0.0020313895900798684,-0.005236581260519957,-0.008204363229535772
