Year,Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
2018,1,100,DirectReturns,Train,1494,2.5543340119901496,0.014901463887677756,0.024570260370320552
2018,1,100,DirectReturns,Test,269,6.600162408784212,0.11747866882964744,0.19370455834812134
2018,21,100,Base,Train,1494,2.712518088405749,0.016785242595837607,0.027676326572167162
2018,21,100,Base,Test,269,9.97079792734983,0.21285074984965274,0.35095869662500306
2018,21,100,Stacking,Train,1494,2.7537136043347834,0.015608605267058033,0.02573622956240566
2018,21,100,Stacking,Test,269,10.632937917030809,0.23276802029512428,0.38379926345790294
2018,21,100,DirectReturns,Train,1494,2.4440282262260813,0.013787743501327545,0.022733903883560436
2018,21,100,DirectReturns,Test,269,9.076615846837473,0.266953125348223,0.44016533180344003
2018,100,100,Base,Train,1494,2.807095859447922,0.018137965016414615,0.029906761268575163
2018,100,100,Base,Test,269,5.564312595981061,0.1072842489024486,0.17689550161224016
2018,100,100,Stacking,Train,1494,2.7588469613980164,0.016468547121712786,0.02715414362987359
2018,100,100,Stacking,Test,269,5.6032086826058825,0.10393187761481515,0.17136794834525862
2018,100,100,DirectReturns,Train,1494,2.4391712276803648,0.013197713705397624,0.02176103398154811
2018,100,100,DirectReturns,Test,269,6.2767726694139085,0.1345540598976827,0.22185929587116443
2018,999,100,Base,Train,1494,2.691337612297533,0.01743671968062856,0.028750513760705563
2018,999,100,Base,Test,269,10.55468272378437,0.2660558977171285,0.43868593912943116
2018,999,100,Stacking,Train,1494,2.589408488789511,0.015839350971847507,0.026116694333433874
2018,999,100,Stacking,Test,269,10.841188627699303,0.27515367895661963,0.45368680451631166
2018,999,100,DirectReturns,Train,1494,2.5052634314693902,0.01378989840780984,0.022737456998458593
2018,999,100,DirectReturns,Test,269,7.293331273220055,0.16194886300630446,0.26702918322223856
2019,42,100,Base,Train,1763,2.714548567954179,0.018365803162317233,0.03069765629230393
2019,42,100,Base,Test,271,7.476557768948795,0.08852667830732663,0.14796856523833035
2019,42,100,Stacking,Train,1763,2.783139406384274,0.017460345944127164,0.029184223189175903
2019,42,100,Stacking,Test,271,7.490123092207278,0.08973756772515469,0.14999251522995075
2019,42,100,DirectReturns,Train,1763,2.884556615472846,0.02071218767836052,0.034619537887488845
2019,42,100,DirectReturns,Test,271,7.554408800616269,0.08686100009370135,0.14518445518098416
2019,7,100,Base,Train,1763,2.6027686388495246,0.017036592607775236,0.02847593756958815
2019,7,100,Base,Test,271,7.172619420064782,0.08682224816580279,0.1451196829870986
2019,7,100,Stacking,Train,1763,2.5294441719328136,0.015617284534473424,0.026103624688847575
2019,7,100,Stacking,Test,271,7.302949581110838,0.08837890127804482,0.1477215622397303
2019,7,100,DirectReturns,Train,1763,2.848292340599998,0.02111836323492022,0.03529844299822137
2019,7,100,DirectReturns,Test,271,12.522393254907909,0.21647009983908813,0.36182053481088394
2019,123,100,Base,Train,1763,2.591031806422356,0.01747915187767971,0.029215656504634514
2019,123,100,Base,Test,271,11.430734323357106,0.19467915867315225,0.3253979065007743
2019,123,100,Stacking,Train,1763,2.5370966887072606,0.01549282219518691,0.025895591199705494
2019,123,100,Stacking,Test,271,11.395531746930416,0.19291833542998424,0.32245476558651376
2019,123,100,DirectReturns,Train,1763,2.5629762451874334,0.016409758778409087,0.027428211571644757
2019,123,100,DirectReturns,Test,271,7.874728276949301,0.09207713957824663,0.15390300974971796
2019,2024,100,Base,Train,1763,2.7982410828275155,0.018391344551660742,0.03074034763470619
2019,2024,100,Base,Test,271,17.42693686234047,0.4524642910608761,0.7562747552487259
2019,2024,100,Stacking,Train,1763,2.750598994037787,0.016671109439504037,0.027865048049480937
2019,2024,100,Stacking,Test,271,17.62567829671505,0.4650714089418722,0.7773470148241437
2019,2024,100,DirectReturns,Train,1763,2.4923405808161676,0.014531929154745054,0.024289499485204657
2019,2024,100,DirectReturns,Test,271,6.0432702435318095,0.06210686873911803,0.10380898091385901
2019,2025,100,Base,Train,1763,2.4585596327365065,0.01574112479909328,0.0263106184067291
2019,2025,100,Base,Test,271,11.188024910391597,0.18772162463227388,0.3137686852387764
2019,2025,100,Stacking,Train,1763,2.504968808645484,0.015202948922141954,0.025411080393093078
2019,2025,100,Stacking,Test,271,11.238737819248183,0.19084294589854295,0.3189858405443708
2019,2025,100,DirectReturns,Train,1763,2.5341574431107574,0.015743678966891834,0.02631488758921461
2019,2025,100,DirectReturns,Test,271,6.065525230358351,0.05661934944263532,0.09463682656961318
2019,0,100,Base,Train,1763,2.7209339492283346,0.018220569433473673,0.030454904311860365
2019,0,100,Base,Test,271,10.312366312335156,0.15489494759394146,0.2589002953276405
2019,0,100,Stacking,Train,1763,2.7178177129806174,0.0171052839388367,0.028590752198305956
2019,0,100,Stacking,Test,271,10.717440093768536,0.16702548956032445,0.2791759785979174
2019,0,100,DirectReturns,Train,1763,2.768318426637889,0.018511973377378782,0.030941973569499747
2019,0,100,DirectReturns,Test,271,7.523181247090408,0.08335342823636543,0.13932169849425344
2019,1,100,Base,Train,1763,2.7269799819967706,0.018692699775851966,0.031244050032709306
2019,1,100,Base,Test,271,7.75509035698809,0.09109212270228063,0.15225659607353503
2019,1,100,Stacking,Train,1763,2.6351373476831115,0.016921895376314156,0.028284226041486005
2019,1,100,Stacking,Test,271,7.5572061993236614,0.08575900382837585,0.14334251544715462
2019,1,100,DirectReturns,Train,1763,2.705424457709442,0.01818455323235044,0.0303947047685426
2019,1,100,DirectReturns,Test,271,9.561605113137023,0.13581109913818923,0.22700245696731786
2019,21,100,Base,Train,1763,2.6658889795631064,0.017401702305967045,0.029086202850394136
2019,21,100,Base,Test,271,10.787968040092569,0.19655703581867354,0.328536698017971
2019,21,100,Stacking,Train,1763,2.6783128821728512,0.015765097137930117,0.026350687148162952
2019,21,100,Stacking,Test,271,10.879755335432831,0.2005845672291277,0.3352685449103658
2019,21,100,DirectReturns,Train,1763,2.5464044178612197,0.017262054048987268,0.02885278674783129
2019,21,100,DirectReturns,Test,271,10.276411120939823,0.15295371929873572,0.25565561506702494
2019,100,100,Base,Train,1763,2.7520922597861643,0.01860737563139083,0.03110143436613846
2019,100,100,Base,Test,271,8.331444026857296,0.10526124939616627,0.17593968672668187
2019,100,100,Stacking,Train,1763,2.722801621259199,0.017014025310860385,0.02843821729577187
