Split,Feature,Epoch,Mean,Median,Min,Max,Negative_percent,Mean_std_response
Train,cn_10y_rate,200,-0.30691443662215784,-0.18594836651477553,-2.269948593425242,1.0684267529872349,62.14355948869223,-0.1359120326657134
Train,cn_10y_rate,300,-0.3157824168597519,-0.20291220849558633,-2.8637334866346604,1.2617187680667235,58.99705014749262,-0.1398390725045548
Train,cn_10y_rate,400,-0.2975667155718848,-0.225163104605752,-2.9055389051402156,1.5388058852040847,58.35791543756146,-0.13177254746352735
Train,copper_20,100,0.18740009747556724,-0.020090430372899527,-3.054978068954948,5.254140308505111,51.5732546705998,0.0092171574693296
Train,copper_20,200,0.0011845180783645398,-0.1227916736918376,-5.010830980941095,6.011227617289499,53.14650934119961,5.8259786417544826e-05
Train,copper_20,300,-0.04085016491324966,-0.18095813692047888,-7.059806343270292,6.235072331953135,55.26057030481809,-0.002009190004304
Train,copper_20,400,-0.17006653787910325,-0.29681815344890583,-10.873992478248141,7.0061293716329205,55.94886922320551,-0.008364617100051255
Train,copper_5,100,-0.5948140662441795,-0.6359117256057072,-5.955884657160927,9.183628722667164,68.48574237954769,-0.01483924226931687
Train,copper_5,200,-0.5905875842891612,-0.6360323420698504,-6.477810875002199,6.76941258168927,64.94591937069814,-0.014733801269790025
Train,copper_5,300,-0.5875054976700191,-0.7169049159923703,-6.597016227308662,7.858657125370722,64.84759095378564,-0.014656910300608245
Train,copper_5,400,-0.7519838821977303,-0.7677366734670338,-6.723617896175871,7.590674295027153,67.6007866273353,-0.018760267525302073
Train,gold_20,100,1.3530438840059755,1.1313473513256733,-3.1126951521328037,11.117641854124674,28.269419862340218,0.052091721404908996
Train,gold_20,200,1.3095284209586704,1.1337823584121745,-8.511806320537854,15.934900023802326,29.646017699115045,0.05041639113317051
Train,gold_20,300,1.1454953069277047,0.9322418099258533,-8.473115591605605,13.854487251996252,35.59488692232055,0.04410117299554284
Train,gold_20,400,1.228444350648587,1.116388047607431,-8.66475708396342,14.903761366255745,37.561455260570305,0.04729468247989059
Train,gold_5,100,-0.11640092564098262,-0.11786237639968726,-6.1345676032794145,5.410202911919578,53.53982300884957,-0.0022548458420054295
Train,gold_5,200,0.20531461176433302,0.11743099717488042,-9.653948419136334,11.8786017006701,45.968534906588005,0.00397722609240805
Train,gold_5,300,0.28344185318130394,0.19966330418582723,-12.601404458007783,17.81549561106163,46.06686332350049,0.0054906580903610535
Train,gold_5,400,0.23497880967128915,0.0802889881047058,-14.990686585483527,19.10162770053694,46.46017699115044,0.0045518623587314875
Train,us_10y_rate,100,0.0929530801703231,0.09085109376035941,-0.8974612710520798,0.8270872237161607,43.411996066863324,0.040497135017633315
Train,us_10y_rate,200,-0.0021097408231606214,0.04871691585852813,-1.849331277065655,1.3103287651709443,42.33038348082596,-0.0009191568349450593
Train,us_10y_rate,300,-0.012100231259131958,0.02501057396757468,-2.1993328868449917,1.5379239235050135,44.296951819075716,-0.005271742454878898
Train,us_10y_rate,400,-0.00409213072774816,-0.008184022078160677,-2.739241631824398,1.59359966097215,50.491642084562436,-0.0017828303299661087
